datetime,open,high,low,close,volume,hold,K线性质,K线关系,change_pct,volume_change,hold_change,ma5,close_above_ma5,volatility_5,volatility_ratio,high_突破,low_跌破,volume放大,volume缩小
2026-03-18 23:28:00,134590.0,134620.0,134550.0,134590.0,500,192931,十字星,首K,0.0,,,,False,,70.0,False,False,False,False
2026-03-18 23:29:00,134590.0,134610.0,134580.0,134610.0,194,192937,小阳线,包含,0.014859945018203433,-0.612,3.1099201268869336e-05,,False,,30.0,False,False,False,True
2026-03-18 23:30:00,134610.0,134650.0,134590.0,134650.0,241,192937,小阳线,横盘,0.029715474333259047,0.24226804123711343,0.0,,False,,60.0,True,False,False,False
2026-03-18 23:31:00,134640.0,134650.0,134630.0,134640.0,202,192959,十字星,被包含,0.0,-0.16182572614107882,0.00011402685850825378,,False,,20.0,False,False,False,False
2026-03-18 23:32:00,134640.0,134640.0,134600.0,134620.0,245,192944,小阴线,包含,-0.014854426619132503,0.21287128712871284,-7.773672127242559e-05,134622.0,False,100.0,40.0,False,True,False,False
2026-03-18 23:33:00,134610.0,134640.0,134600.0,134610.0,134,192979,倒T字,横盘,0.0,-0.4530612244897959,0.00018139978439335458,134626.0,False,70.0,40.0,False,False,False,False
2026-03-18 23:34:00,134610.0,134630.0,134610.0,134620.0,146,192998,小阳线,包含,0.007428868583314762,0.08955223880597019,9.845630871763156e-05,134628.0,False,60.0,20.0,False,False,False,False
2026-03-18 23:35:00,134630.0,134670.0,134620.0,134650.0,326,192967,小阳线,上涨递进,0.014855529971031716,1.2328767123287672,-0.00016062342614953096,134628.0,True,70.0,50.0,True,False,True,False
2026-03-18 23:36:00,134640.0,134660.0,134620.0,134630.0,181,192982,小阴线,被包含,-0.007427213309566251,-0.4447852760736196,7.773349847384203e-05,134626.0,True,70.0,40.0,False,False,False,False
2026-03-18 23:37:00,134630.0,134670.0,134630.0,134670.0,214,193002,小阳线,包含,0.029711059942063432,0.18232044198895037,0.00010363660859558088,134636.0,True,70.0,40.0,True,False,False,False
2026-03-18 23:38:00,134660.0,134660.0,134630.0,134640.0,172,193003,小阴线,被包含,-0.014852220406950839,-0.19626168224299068,5.181293458056402e-06,134642.0,False,60.0,30.0,False,False,False,False
2026-03-18 23:39:00,134640.0,134650.0,134610.0,134620.0,152,193009,小阴线,横盘,-0.014854426619132503,-0.11627906976744184,3.108759967451746e-05,134642.0,False,60.0,40.0,False,True,False,False
2026-03-18 23:40:00,134620.0,134620.0,134560.0,134560.0,352,193041,小阴线,横盘,-0.04456990046055564,1.3157894736842106,0.0001657953774176768,134624.0,False,110.0,60.0,False,True,True,False
2026-03-18 23:41:00,134560.0,134600.0,134540.0,134590.0,553,192945,小阳线,被包含,0.022294887039239,0.5710227272727273,-0.0004973036816012799,134616.0,False,130.0,60.0,False,True,True,False
2026-03-18 23:42:00,134590.0,134600.0,134340.0,134490.0,2042,192560,长下影阴,包含,-0.07429972509101716,2.6925858951175408,-0.0019953872865324795,134580.0,False,320.0,260.0,False,True,True,False
2026-03-18 23:43:00,134480.0,134520.0,134370.0,134390.0,997,192336,小阴线,下跌递进,-0.0669244497323022,-0.5117531831537708,-0.0011632737847943053,134530.0,False,310.0,150.0,False,False,False,True
2026-03-18 23:44:00,134390.0,134420.0,134350.0,134410.0,825,192355,长下影,被包含,0.014882059677059304,-0.17251755265797397,9.878545878039269e-05,134488.0,False,280.0,70.0,False,True,False,False
2026-03-18 23:45:00,134410.0,134450.0,134400.0,134420.0,342,192400,长上影,横盘,0.007439922624804702,-0.5854545454545454,0.0002339424501571763,134460.0,False,260.0,50.0,True,False,False,True
2026-03-18 23:46:00,134420.0,134490.0,134420.0,134450.0,335,192423,长上影,横盘,0.022318107424490405,-0.020467836257309968,0.00011954261954261192,134432.0,True,260.0,70.0,True,False,False,False
2026-03-18 23:47:00,134450.0,134450.0,134360.0,134360.0,422,192416,小阴线,包含,-0.0669393826701376,0.25970149253731334,-3.6378187638685944e-05,134406.0,False,170.0,90.0,False,True,False,False
