combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
6,4,4,2026-03-19 10:47:00,19008.0,2026-03-19 10:48:00,19005.0,1,-0.015782828282828284,False,0.015782828282828284,True,1#大阳+0.17%;2#中阴-0.10%;3#中阴-0.04%;4#中阴-0.05%,中阴
6,4,4,2026-03-19 10:48:00,19005.0,2026-03-19 10:49:00,18973.0,1,-0.1683767429623783,False,0.1683767429623783,True,1#中阴-0.10%;2#中阴-0.04%;3#中阴-0.05%;4#中阴-0.05%,小阴
6,4,4,2026-03-19 10:49:00,18973.0,2026-03-19 10:50:00,18971.0,1,-0.01054129552522005,False,0.01054129552522005,True,1#中阴-0.04%;2#中阴-0.05%;3#中阴-0.05%;4#小阴-0.02%,大阴
6,4,4,2026-03-19 10:50:00,18971.0,2026-03-19 10:51:00,18958.0,1,-0.06852564440461757,False,0.06852564440461757,True,1#中阴-0.05%;2#中阴-0.05%;3#小阴-0.02%;4#大阴-0.17%,倒T
6,4,4,2026-03-19 10:51:00,18958.0,2026-03-19 10:52:00,18970.0,1,0.06329781622534023,True,-0.06329781622534023,False,1#中阴-0.05%;2#小阴-0.02%;3#大阴-0.17%;4#倒T-0.01%,长上影阴
6,4,4,2026-03-19 10:52:00,18970.0,2026-03-19 10:53:00,18983.0,1,0.06852925672113863,True,-0.06852925672113863,False,1#小阴-0.02%;2#大阴-0.17%;3#倒T-0.01%;4#长上影阴-0.06%,长下影阳
6,4,4,2026-03-19 11:00:00,19010.0,2026-03-19 11:01:00,19013.0,1,0.015781167806417674,True,-0.015781167806417674,False,1#大阳+0.07%;2#大阴-0.10%;3#长下影阴-0.03%;4#中阴-0.04%,大阳
6,4,4,2026-03-19 11:05:00,18977.0,2026-03-19 11:06:00,18958.0,1,-0.10012119934657744,False,0.10012119934657744,True,1#长下影阳+0.02%;2#中阴-0.04%;3#大阴-0.11%;4#中阴-0.06%,中阳
6,4,4,2026-03-19 11:19:00,18985.0,2026-03-19 11:20:00,18993.0,1,0.042138530418751645,True,-0.042138530418751645,False,1#长上影阳+0.04%;2#大阴-0.09%;3#大阴-0.08%;4#长上影阴-0.03%,大阳
6,4,4,2026-03-19 11:25:00,18946.0,2026-03-19 11:26:00,18924.0,1,-0.11611949751926527,False,0.11611949751926527,True,1#T字-0.01%;2#中阴-0.07%;3#大阴-0.09%;4#大阴-0.09%,中阴
6,4,4,2026-03-19 11:26:00,18924.0,2026-03-19 11:27:00,18928.0,1,0.02113718030014796,True,-0.02113718030014796,False,1#中阴-0.07%;2#大阴-0.09%;3#大阴-0.09%;4#中阴-0.04%,大阴
6,4,4,2026-03-19 11:27:00,18928.0,2026-03-19 11:28:00,18949.0,1,0.11094674556213018,True,-0.11094674556213018,False,1#大阴-0.09%;2#大阴-0.09%;3#中阴-0.04%;4#大阴-0.13%,长上影阳
