datetime,open,high,low,close,volume,hold
2026-03-18 23:28:00,356670.0,356920.0,356590.0,356920.0,64,25876
2026-03-18 23:29:00,356920.0,357200.0,356920.0,357160.0,63,25881
2026-03-18 23:30:00,357180.0,357330.0,357140.0,357300.0,86,25895
2026-03-18 23:31:00,357300.0,357450.0,357200.0,357380.0,75,25912
2026-03-18 23:32:00,357380.0,357500.0,357300.0,357390.0,55,25914
2026-03-18 23:33:00,357390.0,357500.0,357340.0,357420.0,45,25918
2026-03-18 23:34:00,357420.0,357590.0,357420.0,357580.0,63,25922
2026-03-18 23:35:00,357580.0,357760.0,357470.0,357470.0,63,25918
2026-03-18 23:36:00,357470.0,357550.0,357210.0,357330.0,70,25918
2026-03-18 23:37:00,357330.0,357410.0,357220.0,357280.0,79,25907
2026-03-18 23:38:00,357260.0,357410.0,357250.0,357280.0,45,25903
2026-03-18 23:39:00,357280.0,357410.0,357230.0,357390.0,30,25905
2026-03-18 23:40:00,357390.0,357480.0,357390.0,357400.0,42,25903
2026-03-18 23:41:00,357400.0,357430.0,357300.0,357300.0,48,25901
2026-03-18 23:42:00,357290.0,357470.0,356850.0,356920.0,97,25874
2026-03-18 23:43:00,356860.0,356990.0,356820.0,356850.0,75,25866
2026-03-18 23:44:00,356850.0,356910.0,356750.0,356820.0,63,25859
2026-03-18 23:45:00,356820.0,357100.0,356720.0,356720.0,61,25860
2026-03-18 23:46:00,356720.0,356980.0,356580.0,356880.0,100,25866
2026-03-18 23:47:00,356880.0,356940.0,356430.0,356430.0,89,25883
2026-03-18 23:48:00,356450.0,356660.0,356380.0,356560.0,76,25892
2026-03-18 23:49:00,356560.0,356700.0,356500.0,356590.0,4,25902
2026-03-18 23:50:00,356590.0,356680.0,356570.0,356570.0,29,25910
2026-03-18 23:51:00,356570.0,356730.0,356380.0,356730.0,72,25901
2026-03-18 23:52:00,356730.0,356880.0,356720.0,356760.0,56,25906
2026-03-18 23:53:00,356740.0,356740.0,356410.0,356520.0,47,25905
2026-03-18 23:54:00,356520.0,356560.0,356100.0,356170.0,178,25890
2026-03-18 23:55:00,356230.0,356370.0,356200.0,356320.0,71,25876
2026-03-18 23:56:00,356340.0,356640.0,356280.0,356620.0,70,25867
2026-03-18 23:57:00,356620.0,356700.0,356500.0,356650.0,35,25869
2026-03-18 23:58:00,356660.0,356760.0,356550.0,356550.0,35,25868
2026-03-18 23:59:00,356520.0,356580.0,356330.0,356550.0,42,25866
2026-03-19 00:00:00,356590.0,356590.0,356360.0,356360.0,29,25866
2026-03-19 00:01:00,356360.0,356410.0,356220.0,356400.0,60,25869
2026-03-19 00:02:00,356400.0,356460.0,356340.0,356430.0,31,25873
2026-03-19 00:03:00,356430.0,356590.0,356400.0,356530.0,36,25876
2026-03-19 00:04:00,356470.0,356930.0,356470.0,356840.0,94,25871
2026-03-19 00:05:00,356840.0,356990.0,356740.0,356740.0,54,25880
2026-03-19 00:06:00,356740.0,356880.0,356730.0,356760.0,26,25873
2026-03-19 00:07:00,356860.0,356960.0,356760.0,356860.0,73,25885
2026-03-19 00:08:00,356860.0,357000.0,356840.0,356880.0,40,25879
2026-03-19 00:09:00,356880.0,356880.0,356620.0,356700.0,40,25877
2026-03-19 00:10:00,356700.0,356800.0,356650.0,356700.0,17,25872
2026-03-19 00:11:00,356700.0,356830.0,356660.0,356830.0,20,25871
2026-03-19 00:12:00,356830.0,356890.0,356800.0,356800.0,19,25874
2026-03-19 00:13:00,356800.0,356980.0,356800.0,356950.0,34,25876
2026-03-19 00:14:00,356950.0,357160.0,356860.0,357120.0,42,25876
2026-03-19 00:15:00,357120.0,357290.0,357120.0,357270.0,82,25855
2026-03-19 00:16:00,357270.0,357450.0,357200.0,357200.0,54,25852
2026-03-19 00:17:00,357130.0,357210.0,357020.0,357210.0,47,25853
2026-03-19 00:18:00,357230.0,357350.0,357190.0,357190.0,35,25853
2026-03-19 00:19:00,357190.0,357190.0,356880.0,357030.0,44,25851
2026-03-19 00:20:00,357080.0,357170.0,357000.0,357170.0,19,25849
2026-03-19 00:21:00,357170.0,357300.0,357130.0,357300.0,39,25832
2026-03-19 00:22:00,357300.0,357300.0,357100.0,357200.0,21,25834
2026-03-19 00:23:00,357220.0,357360.0,357160.0,357360.0,45,25833
2026-03-19 00:24:00,357360.0,357610.0,357330.0,357440.0,95,25833
2026-03-19 00:25:00,357440.0,357510.0,357410.0,357470.0,61,25810
2026-03-19 00:26:00,357470.0,357500.0,357240.0,357330.0,62,25802
2026-03-19 00:27:00,357250.0,357430.0,357150.0,357430.0,60,25796
2026-03-19 00:28:00,357430.0,357900.0,357430.0,357740.0,97,25784
2026-03-19 00:29:00,357740.0,357800.0,357650.0,357680.0,30,25790
2026-03-19 00:30:00,357680.0,358270.0,357620.0,358110.0,156,25787
2026-03-19 00:31:00,358110.0,358160.0,357900.0,358070.0,36,25779
2026-03-19 00:32:00,358070.0,358130.0,357970.0,358000.0,39,25788
2026-03-19 00:33:00,358000.0,358050.0,357700.0,357770.0,58,25780
2026-03-19 00:34:00,357770.0,357770.0,357540.0,357610.0,62,25777
2026-03-19 00:35:00,357610.0,357850.0,357540.0,357680.0,41,25788
2026-03-19 00:36:00,357770.0,357770.0,357500.0,357500.0,28,25796
2026-03-19 00:37:00,357600.0,357660.0,357500.0,357500.0,24,25793
2026-03-19 00:38:00,357510.0,357800.0,357510.0,357790.0,28,25794
2026-03-19 00:39:00,357800.0,357910.0,357800.0,357860.0,40,25798
2026-03-19 00:40:00,357800.0,358040.0,357800.0,358040.0,25,25797
2026-03-19 00:41:00,357990.0,358040.0,357910.0,357920.0,30,25799
2026-03-19 00:42:00,357920.0,357960.0,357850.0,357940.0,26,25802
2026-03-19 00:43:00,357940.0,358200.0,357920.0,358190.0,84,25796
2026-03-19 00:44:00,358190.0,358190.0,357880.0,357980.0,31,25795
2026-03-19 00:45:00,358000.0,358020.0,357850.0,357930.0,29,25798
2026-03-19 00:46:00,357930.0,357950.0,357660.0,357750.0,50,25790
2026-03-19 00:47:00,357800.0,357880.0,357720.0,357760.0,19,25783
2026-03-19 00:48:00,357760.0,357760.0,357600.0,357700.0,34,25771
2026-03-19 00:49:00,357700.0,357760.0,357550.0,357630.0,42,25766
2026-03-19 00:50:00,357630.0,357850.0,357590.0,357730.0,29,25753
2026-03-19 00:51:00,357770.0,357830.0,357700.0,357810.0,17,25743
2026-03-19 00:52:00,357810.0,357930.0,357690.0,357930.0,34,25750
2026-03-19 00:53:00,357930.0,358380.0,357810.0,358290.0,69,25725
2026-03-19 00:54:00,358290.0,358400.0,358190.0,358240.0,35,25719
2026-03-19 00:55:00,358240.0,358590.0,358240.0,358330.0,36,25715
2026-03-19 00:56:00,358330.0,358330.0,357910.0,358020.0,93,25694
2026-03-19 00:57:00,358100.0,358180.0,357960.0,358180.0,60,25707
2026-03-19 00:58:00,358180.0,358320.0,358080.0,358170.0,43,25693
2026-03-19 00:59:00,358200.0,358320.0,358100.0,358220.0,46,25686
2026-03-19 01:00:00,358220.0,358220.0,357680.0,357860.0,110,25631
2026-03-19 09:01:00,356000.0,357710.0,355850.0,356170.0,873,25684
2026-03-19 09:02:00,356170.0,357000.0,356170.0,356610.0,350,25742
2026-03-19 09:03:00,356690.0,356690.0,356420.0,356450.0,182,25772
2026-03-19 09:04:00,356490.0,356630.0,356170.0,356180.0,235,25808
2026-03-19 09:05:00,356160.0,356330.0,353990.0,354100.0,1178,26068
2026-03-19 09:06:00,354150.0,354150.0,352000.0,352810.0,1304,26307
2026-03-19 09:07:00,352810.0,353530.0,352810.0,353200.0,525,26312
2026-03-19 09:08:00,353330.0,353330.0,352160.0,352720.0,548,26385
2026-03-19 09:09:00,352720.0,353680.0,352720.0,353420.0,282,26398
2026-03-19 09:10:00,353310.0,353660.0,353000.0,353500.0,307,26415
2026-03-19 09:11:00,353500.0,354200.0,353450.0,353970.0,336,26426
2026-03-19 09:12:00,353710.0,353710.0,352900.0,353040.0,301,26435
2026-03-19 09:13:00,353040.0,353240.0,352840.0,352910.0,198,26448
2026-03-19 09:14:00,352850.0,353370.0,352640.0,353310.0,243,26465
2026-03-19 09:15:00,353310.0,353600.0,353120.0,353150.0,205,26491
2026-03-19 09:16:00,353090.0,353250.0,352660.0,353130.0,237,26514
2026-03-19 09:17:00,353130.0,353610.0,352880.0,353570.0,134,26515
2026-03-19 09:18:00,353570.0,353860.0,353500.0,353790.0,248,26529
2026-03-19 09:19:00,353790.0,353890.0,353400.0,353540.0,167,26545
2026-03-19 09:20:00,353640.0,354050.0,353410.0,353660.0,237,26564
2026-03-19 09:21:00,353610.0,353830.0,353000.0,353090.0,197,26524
2026-03-19 09:22:00,353150.0,353320.0,352530.0,353050.0,275,26554
2026-03-19 09:23:00,353050.0,353570.0,353050.0,353340.0,112,26562
2026-03-19 09:24:00,353340.0,353370.0,352800.0,352990.0,144,26579
2026-03-19 09:25:00,352990.0,353380.0,352820.0,353380.0,163,26578
2026-03-19 09:26:00,353380.0,354470.0,353380.0,354300.0,336,26589
2026-03-19 09:27:00,354300.0,354820.0,354200.0,354400.0,269,26562
2026-03-19 09:28:00,354350.0,355360.0,354310.0,354680.0,297,26484
2026-03-19 09:29:00,354680.0,354730.0,354200.0,354250.0,188,26491
2026-03-19 09:30:00,354250.0,354870.0,354130.0,354830.0,86,26480
2026-03-19 09:31:00,354870.0,355070.0,354150.0,354150.0,194,26470
2026-03-19 09:32:00,354100.0,354190.0,353700.0,353880.0,286,26455
2026-03-19 09:33:00,353830.0,354000.0,353720.0,353910.0,76,26447
2026-03-19 09:34:00,353910.0,354590.0,353910.0,354590.0,114,26422
2026-03-19 09:35:00,354620.0,354650.0,354130.0,354550.0,151,26405
2026-03-19 09:36:00,354580.0,354700.0,354010.0,354120.0,168,26404
2026-03-19 09:37:00,354260.0,354610.0,354120.0,354570.0,136,26411
2026-03-19 09:38:00,354660.0,355330.0,354620.0,355230.0,210,26417
2026-03-19 09:39:00,355230.0,355230.0,354780.0,355000.0,225,26478
2026-03-19 09:40:00,355080.0,355480.0,355000.0,355000.0,136,26455
2026-03-19 09:41:00,355000.0,355050.0,354810.0,355020.0,70,26443
2026-03-19 09:42:00,354940.0,355300.0,354940.0,354970.0,130,26434
2026-03-19 09:43:00,355000.0,355000.0,354520.0,354520.0,97,26426
2026-03-19 09:44:00,354500.0,354640.0,354440.0,354560.0,92,26430
2026-03-19 09:45:00,354560.0,354560.0,354050.0,354260.0,163,26417
2026-03-19 09:46:00,354260.0,354260.0,353320.0,353380.0,198,26417
2026-03-19 09:47:00,353510.0,353510.0,353000.0,353310.0,193,26418
2026-03-19 09:48:00,353280.0,353700.0,353150.0,353700.0,94,26437
2026-03-19 09:49:00,353410.0,353720.0,353370.0,353470.0,87,26441
2026-03-19 09:50:00,353380.0,353450.0,353080.0,353430.0,71,26455
2026-03-19 09:51:00,353410.0,353710.0,353000.0,353090.0,145,26504
2026-03-19 09:52:00,353080.0,353520.0,353080.0,353450.0,89,26510
2026-03-19 09:53:00,353450.0,353580.0,353360.0,353580.0,51,26518
2026-03-19 09:54:00,353560.0,353560.0,353410.0,353470.0,67,26539
2026-03-19 09:55:00,353470.0,353500.0,353250.0,353340.0,93,26543
2026-03-19 09:56:00,353360.0,353390.0,353030.0,353350.0,87,26547
2026-03-19 09:57:00,353220.0,353720.0,353200.0,353720.0,152,26590
2026-03-19 09:58:00,353840.0,353990.0,353660.0,353680.0,93,26598
