datetime,open,high,low,close,volume,hold,K线性质,K线关系,change_pct,volume_change,hold_change,ma5,close_above_ma5,volatility_5,volatility_ratio,high_突破,low_跌破,volume放大,volume缩小
2026-03-18 23:28:00,356670.0,356920.0,356590.0,356920.0,64,25876,小阳线,首K,0.07009280287100121,,,,False,,330.0,False,False,False,False
2026-03-18 23:29:00,356920.0,357200.0,356920.0,357160.0,63,25881,小阳线,横盘,0.06724195898240502,-0.015625,0.00019322924717890544,,False,,280.0,True,False,False,False
2026-03-18 23:30:00,357180.0,357330.0,357140.0,357300.0,86,25895,小阳线,上涨递进,0.03359650596337981,0.3650793650793651,0.0005409373671805273,,False,,190.0,True,False,False,False
2026-03-18 23:31:00,357300.0,357450.0,357200.0,357380.0,75,25912,小阳线,横盘,0.02239014833473272,-0.12790697674418605,0.0006564973933191887,,False,,250.0,True,False,False,False
2026-03-18 23:32:00,357380.0,357500.0,357300.0,357390.0,55,25914,十字星,横盘,0.00279814203368963,-0.2666666666666667,7.718431614689436e-05,357230.0,True,910.0,200.0,True,False,False,False
2026-03-18 23:33:00,357390.0,357500.0,357340.0,357420.0,45,25918,小阳线,横盘,0.008394191219675984,-0.18181818181818177,0.0001543567183761585,357330.0,True,580.0,160.0,False,False,False,False
2026-03-18 23:34:00,357420.0,357590.0,357420.0,357580.0,63,25922,小阳线,横盘,0.0447652621565665,0.3999999999999999,0.00015433289605670808,357414.0,True,450.0,170.0,True,False,False,False
2026-03-18 23:35:00,357580.0,357760.0,357470.0,357470.0,63,25918,长上影阴,被包含,-0.030762346887409812,0.0,-0.00015430908108937658,357448.0,True,560.0,290.0,True,False,False,False
2026-03-18 23:36:00,357470.0,357550.0,357210.0,357330.0,70,25918,小阴线,横盘,-0.03916412566089462,0.11111111111111116,0.0,357438.0,False,550.0,340.0,False,True,False,False
2026-03-18 23:37:00,357330.0,357410.0,357220.0,357280.0,79,25907,小阴线,横盘,-0.013992667842050766,0.12857142857142856,-0.00042441546415616926,357416.0,False,550.0,190.0,False,False,False,False
2026-03-18 23:38:00,357260.0,357410.0,357250.0,357280.0,45,25903,长上影,横盘,0.005598163802272855,-0.430379746835443,-0.00015439842513609303,357388.0,False,550.0,160.0,False,False,False,False
2026-03-18 23:39:00,357280.0,357410.0,357230.0,357390.0,30,25905,小阳线,横盘,0.03078817733990148,-0.33333333333333337,7.721113384540068e-05,357350.0,True,550.0,180.0,False,True,False,False
2026-03-18 23:40:00,357390.0,357480.0,357390.0,357400.0,42,25903,长上影,横盘,0.002798063739891995,0.3999999999999999,-7.720517274656391e-05,357336.0,True,340.0,90.0,True,False,False,False
2026-03-18 23:41:00,357400.0,357430.0,357300.0,357300.0,48,25901,小阴线,包含,-0.02797985450475658,0.1428571428571428,-7.72111338455117e-05,357330.0,False,260.0,130.0,False,True,False,False
2026-03-18 23:42:00,357290.0,357470.0,356850.0,356920.0,97,25874,小阴线,下跌递进,-0.10355733437823617,1.0208333333333335,-0.0010424307941778732,357258.0,False,630.0,620.0,True,True,True,False
2026-03-18 23:43:00,356860.0,356990.0,356820.0,356850.0,75,25866,倒T字,下跌递进,-0.002802219357731323,-0.22680412371134018,-0.0003091906933601063,357172.0,False,660.0,170.0,False,True,False,False
2026-03-18 23:44:00,356850.0,356910.0,356750.0,356820.0,63,25859,小阴线,横盘,-0.008406893652795292,-0.16000000000000003,-0.00027062553158585523,357058.0,False,730.0,160.0,False,True,False,False
2026-03-18 23:45:00,356820.0,357100.0,356720.0,356720.0,61,25860,长上影阴,横盘,-0.028025334902752087,-0.031746031746031744,3.867125565570895e-05,356922.0,False,750.0,380.0,True,True,False,False
2026-03-18 23:46:00,356720.0,356980.0,356580.0,356880.0,100,25866,小阳线,包含,0.04485310607759588,0.639344262295082,0.00023201856148502564,356838.0,True,890.0,400.0,False,True,True,False
2026-03-18 23:47:00,356880.0,356940.0,356430.0,356430.0,89,25883,小阴线,包含,-0.12609280430396771,-0.10999999999999999,0.0006572334338514896,356740.0,False,670.0,510.0,False,True,False,False
