datetime,open,high,low,close,volume,hold,K线性质,K线关系,change_pct,volume_change,hold_change,ma5,close_above_ma5,volatility_5,volatility_ratio,high_突破,low_跌破,volume放大,volume缩小
2026-03-19 10:43:00,19019.0,19052.0,19018.0,19051.0,611,226599,小阳线,首K,0.1682527998317472,,,,False,,34.0,False,False,False,False
2026-03-19 10:44:00,19050.0,19061.0,19022.0,19030.0,556,226536,小阴线,被包含,-0.10498687664041995,-0.09001636661211132,-0.000278024174864,,False,,39.0,True,False,False,False
2026-03-19 10:45:00,19033.0,19035.0,19023.0,19026.0,251,226530,小阴线,横盘,-0.03677822728944465,-0.5485611510791366,-2.648585655262714e-05,,False,,12.0,False,False,False,True
2026-03-19 10:46:00,19029.0,19029.0,19013.0,19020.0,332,226509,小阴线,横盘,-0.04729623206684534,0.3227091633466135,-9.270295325125577e-05,,False,,16.0,False,True,False,False
2026-03-19 10:47:00,19018.0,19018.0,19000.0,19008.0,477,226499,小阴线,下跌递进,-0.05258176464402146,0.43674698795180733,-4.4148356135975675e-05,19027.0,False,61.0,18.0,False,True,False,False
2026-03-19 10:48:00,19008.0,19014.0,18997.0,19005.0,282,226563,小阴线,横盘,-0.015782828282828284,-0.4088050314465409,0.00028256195391596073,19017.8,False,64.0,17.0,False,True,False,False
2026-03-19 10:49:00,19005.0,19007.0,18959.0,18973.0,928,226551,小阴线,横盘,-0.1683767429623783,2.2907801418439715,-5.296540035226727e-05,19006.4,False,76.0,48.0,False,True,True,False
2026-03-19 10:50:00,18972.0,18981.0,18969.0,18971.0,142,226601,倒T字,下跌递进,-0.005270925574530887,-0.8469827586206897,0.00022070085764358538,18995.4,False,70.0,12.0,False,False,False,True
2026-03-19 10:51:00,18970.0,18984.0,18958.0,18958.0,942,226737,长上影阴,下跌递进,-0.0632577754348972,5.633802816901408,0.0006001738739016549,18983.0,False,60.0,26.0,True,True,True,False
2026-03-19 10:52:00,18956.0,18970.0,18940.0,18970.0,254,226748,长下影,包含,0.07385524372230429,-0.7303609341825903,4.851435804487103e-05,18975.4,False,74.0,30.0,False,True,False,True
2026-03-19 10:53:00,18968.0,18986.0,18967.0,18983.0,431,226740,小阳线,横盘,0.07908055672711936,0.6968503937007875,-3.528145782982772e-05,18971.0,True,67.0,19.0,True,False,True,False
2026-03-19 10:54:00,18979.0,19014.0,18975.0,19008.0,711,226697,小阳线,横盘,0.15280046367037253,0.6496519721577727,-0.00018964452677072696,18978.0,True,74.0,39.0,True,False,True,False
2026-03-19 10:55:00,19010.0,19014.0,18996.0,19006.0,419,226759,长下影阴,横盘,-0.021041557075223566,-0.4106891701828411,0.00027349281199140485,18985.0,True,74.0,18.0,False,False,False,False
2026-03-19 10:56:00,19003.0,19021.0,19002.0,19016.0,508,226741,小阳线,包含,0.06841025101299796,0.2124105011933175,-7.937942926194985e-05,18996.6,True,81.0,19.0,True,False,False,False
2026-03-19 10:57:00,19016.0,19022.0,18992.0,18997.0,76,226760,小阴线,包含,-0.09991586032814471,-0.8503937007874016,8.379604923680617e-05,19002.0,False,55.0,30.0,True,True,False,True
2026-03-19 10:58:00,18998.0,19001.0,18977.0,18992.0,22,226716,长下影阴,横盘,-0.031582271818086115,-0.7105263157894737,-0.000194037749162157,19003.8,False,47.0,24.0,False,True,False,True
2026-03-19 10:59:00,18992.0,19002.0,18979.0,18984.0,315,226750,小阴线,横盘,-0.04212299915754002,13.318181818181818,0.00014996736004513345,18999.0,False,45.0,23.0,True,False,True,False
2026-03-19 11:00:00,18984.0,19010.0,18984.0,19010.0,315,226765,小阳线,包含,0.1369574378423936,0.0,6.615214994476482e-05,18999.8,True,45.0,26.0,True,False,False,False
2026-03-19 11:01:00,19010.0,19017.0,18999.0,19013.0,206,226713,长下影,横盘,0.015781167806417674,-0.346031746031746,-0.00022931228364164724,18999.2,True,45.0,18.0,True,False,False,False
2026-03-19 11:02:00,19013.0,19022.0,19002.0,19006.0,411,226748,小阴线,包含,-0.036816914742544574,0.9951456310679612,0.00015438020757518878,19001.0,True,45.0,20.0,True,False,True,False
2026-03-19 11:03:00,19007.0,19007.0,18981.0,18986.0,39,226738,小阴线,横盘,-0.11048561056452885,-0.9051094890510949,-4.410182228731241e-05,18999.8,False,43.0,26.0,False,True,False,True
2026-03-19 11:04:00,18983.0,18983.0,18960.0,18971.0,343,226667,小阴线,下跌递进,-0.06321445503871886,7.794871794871796,-0.00031313674814104075,18997.2,False,62.0,23.0,False,True,True,False
2026-03-19 11:05:00,18969.0,18981.0,18961.0,18977.0,437,226680,小阳线,横盘,0.042174073488323055,0.2740524781341107,5.735285683394764e-05,18990.6,False,62.0,20.0,False,False,False,False
2026-03-19 11:06:00,18975.0,18977.0,18955.0,18958.0,460,226697,小阴线,横盘,-0.08959156785243742,0.05263157894736836,7.499558849488608e-05,18979.6,False,67.0,22.0,False,True,False,False
2026-03-19 11:07:00,18958.0,18975.0,18956.0,18968.0,386,226800,小阳线,被包含,0.05274818018778352,-0.16086956521739126,0.00045435096185664214,18972.0,False,52.0,19.0,False,False,False,False
2026-03-19 11:08:00,18966.0,18974.0,18955.0,18968.0,338,226862,长下影,被包含,0.010545186122535063,-0.12435233160621761,0.000273368606702018,18968.4,False,28.0,19.0,False,True,False,False
2026-03-19 11:09:00,18966.0,18989.0,18963.0,18974.0,460,226885,长上影,包含,0.042180744490140254,0.36094674556213024,0.00010138321975472486,18969.0,True,34.0,26.0,True,False,False,False
2026-03-19 11:10:00,18975.0,19006.0,18974.0,19003.0,217,226807,小阳线,上涨递进,0.14756258234519104,-0.5282608695652173,-0.00034378649976862796,18974.2,True,51.0,32.0,True,False,False,True
2026-03-19 11:11:00,19005.0,19008.0,18995.0,18998.0,348,226767,小阴线,横盘,-0.036832412523020254,0.6036866359447004,-0.00017636139978038923,18982.2,True,53.0,13.0,True,False,True,False
2026-03-19 11:12:00,18998.0,19001.0,18985.0,19000.0,381,226759,长下影,被包含,0.010527423939362039,0.09482758620689657,-3.5278501722024735e-05,18988.6,True,53.0,16.0,False,True,False,False
2026-03-19 11:13:00,18999.0,19004.0,18989.0,19002.0,271,226799,长下影,横盘,0.01579030475288173,-0.2887139107611548,0.00017639873169317255,18995.4,True,45.0,15.0,True,False,False,False
2026-03-19 11:14:00,19000.0,19010.0,18991.0,19002.0,363,226808,小阳线,被包含,0.010526315789473684,0.3394833948339484,3.968271465049078e-05,19001.0,True,36.0,19.0,True,False,False,False
2026-03-19 11:15:00,19000.0,19018.0,19000.0,19008.0,33,226819,长上影,包含,0.042105263157894736,-0.9090909090909091,4.849917110516522e-05,19002.0,True,33.0,18.0,True,False,False,True
2026-03-19 11:16:00,19008.0,19011.0,18987.0,18991.0,16,226763,小阴线,包含,-0.08943602693602694,-0.5151515151515151,-0.00024689289697954475,19000.6,False,33.0,24.0,False,True,False,True
2026-03-19 11:17:00,18991.0,18992.0,18971.0,18976.0,17,226748,小阴线,横盘,-0.07898478226528356,0.0625,-6.614835753626647e-05,18995.8,False,47.0,21.0,False,True,False,False
2026-03-19 11:18:00,18976.0,18985.0,18970.0,18970.0,332,226737,长上影阴,横盘,-0.031618887015177066,18.529411764705884,-4.851200451605475e-05,18989.4,False,48.0,15.0,False,True,True,False
2026-03-19 11:19:00,18971.0,18993.0,18970.0,18985.0,269,226715,小阳线,横盘,0.07379684782035738,-0.18975903614457834,-9.702871608952002e-05,18986.0,False,48.0,23.0,True,False,False,False
2026-03-19 11:20:00,18985.0,19005.0,18985.0,18993.0,345,226690,长上影,横盘,0.042138530418751645,0.2825278810408922,-0.00011027060406232359,18983.0,True,41.0,20.0,True,False,False,False
2026-03-19 11:21:00,18996.0,19001.0,18983.0,18995.0,258,226681,T字,横盘,-0.005264266161297115,-0.25217391304347825,-3.970179540346841e-05,18983.8,True,35.0,18.0,False,True,False,False
2026-03-19 11:22:00,18995.0,18997.0,18974.0,18982.0,283,226685,小阴线,横盘,-0.06843906291129244,0.0968992248062015,1.7645942977040363e-05,18985.0,False,35.0,23.0,False,True,False,False
2026-03-19 11:23:00,18985.0,18985.0,18962.0,18968.0,52,226657,小阴线,横盘,-0.08954437713984724,-0.8162544169611308,-0.00012351942122323933,18984.6,False,43.0,23.0,False,True,False,True
2026-03-19 11:24:00,18972.0,18974.0,18946.0,18954.0,580,226660,小阴线,横盘,-0.09487666034155598,10.153846153846153,1.3235858588034333e-05,18978.4,False,59.0,28.0,False,True,True,False
