combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
5,3,3,2026-03-19 21:12:00,16442.0,2026-03-19 21:13:00,16481.0,1,0.23719742123829218,True,-0.23719742123829218,False,1#大阴-0.40%;2#大阴-0.64%;3#倒T+0.02%,小阳
5,3,3,2026-03-19 21:18:00,16763.0,2026-03-19 21:19:00,16842.0,1,0.4712760245779395,True,-0.4712760245779395,False,1#大阳+0.20%;2#长上影阳+0.07%;3#T字+0.04%,大阳
5,3,3,2026-03-19 21:51:00,16818.0,2026-03-19 21:52:00,16853.0,1,0.2081103579498157,True,-0.2081103579498157,False,1#倒T-0.05%;2#长上影阴-0.07%;3#T字+0.06%,T字
5,3,3,2026-03-20 13:34:00,18153.0,2026-03-20 13:35:00,18033.0,1,-0.6610477607007106,False,0.6610477607007106,True,1#长上影阴-0.25%;2#大阴-0.58%;3#十字星-0.01%,大阴
6,3,3,2026-03-19 21:12:00,16442.0,2026-03-19 21:14:00,16521.0,2,0.48047682763654054,True,-0.48047682763654054,False,1#大阴-0.40%;2#大阴-0.64%;3#倒T+0.02%,小阳
6,4,4,2026-03-19 21:18:00,16763.0,2026-03-19 21:19:00,16842.0,1,0.4712760245779395,True,-0.4712760245779395,False,1#中阳+0.26%;2#大阳+0.20%;3#长上影阳+0.07%;4#T字+0.04%,大阳
6,3,3,2026-03-19 21:18:00,16763.0,2026-03-19 21:20:00,16822.0,2,0.3519656386088409,True,-0.3519656386088409,False,1#大阳+0.20%;2#长上影阳+0.07%;3#T字+0.04%,大阳
6,4,4,2026-03-19 21:33:00,16842.0,2026-03-19 21:34:00,16797.0,1,-0.26718916993231207,False,0.26718916993231207,True,1#小阳+0.08%;2#T字-0.02%;3#中阳+0.38%;4#大阳+0.58%,长上影阴
6,4,4,2026-03-19 21:49:00,16660.0,2026-03-19 21:50:00,16770.0,1,0.6602641056422569,True,-0.6602641056422569,False,1#长上影阴-0.10%;2#十字星-0.03%;3#长上影阳+0.10%;4#倒T-0.05%,长上影阴
6,3,3,2026-03-19 21:51:00,16818.0,2026-03-19 21:53:00,16890.0,2,0.4281127363539065,True,-0.4281127363539065,False,1#倒T-0.05%;2#长上影阴-0.07%;3#T字+0.06%,T字
6,4,4,2026-03-19 21:52:00,16853.0,2026-03-19 21:53:00,16890.0,1,0.2195454815166439,True,-0.2195454815166439,False,1#倒T-0.05%;2#长上影阴-0.07%;3#T字+0.06%;4#T字+0.00%,T字
6,4,4,2026-03-19 21:59:00,17141.0,2026-03-19 22:00:00,17170.0,1,0.16918499504112947,True,-0.16918499504112947,False,1#小阳+0.12%;2#长上影阳+0.10%;3#长下影阳+0.09%;4#T字+0.01%,十字星
6,4,4,2026-03-19 22:18:00,17294.0,2026-03-19 22:19:00,17286.0,1,-0.046258818087197874,False,0.046258818087197874,True,1#大阴-0.19%;2#小阳+0.07%;3#倒T+0.06%;4#大阴-0.29%,大阳
6,4,4,2026-03-20 00:55:00,17349.0,2026-03-20 00:56:00,17356.0,1,0.040348146867254596,True,-0.040348146867254596,False,1#倒T-0.01%;2#大阴-0.32%;3#中阴-0.28%;4#长上影阳+0.06%,大阳
6,3,3,2026-03-20 13:34:00,18153.0,2026-03-20 13:36:00,18123.0,2,-0.16526194017517765,False,0.16526194017517765,True,1#长上影阴-0.25%;2#大阴-0.58%;3#十字星-0.01%,大阴
6,4,4,2026-03-20 13:35:00,18033.0,2026-03-20 13:36:00,18123.0,1,0.4990850108135086,True,-0.4990850108135086,False,1#长上影阴-0.25%;2#大阴-0.58%;3#十字星-0.01%;4#大阴-0.20%,大阴
6,4,4,2026-03-20 13:36:00,18123.0,2026-03-20 13:37:00,18121.0,1,-0.011035700491088672,False,0.011035700491088672,True,1#大阴-0.58%;2#十字星-0.01%;3#大阴-0.20%;4#大阴-0.67%,大阳
6,4,4,2026-03-20 13:40:00,18191.0,2026-03-20 13:41:00,18207.0,1,0.08795558243087241,True,-0.08795558243087241,False,1#大阳+0.49%;2#十字星-0.02%;3#长下影阳+0.03%;4#大阳+0.53%,大阴
6,4,4,2026-03-20 13:51:00,17985.0,2026-03-20 13:52:00,17932.0,1,-0.29469001946066165,False,0.29469001946066165,True,1#倒T+0.01%;2#倒T+0.00%;3#倒T+0.00%;4#长下影阳+0.18%,长下影阴
6,4,4,2026-03-20 14:41:00,17623.0,2026-03-20 14:42:00,17595.0,1,-0.15888327753503945,False,0.15888327753503945,True,1#大阴-0.25%;2#十字星+0.02%;3#大阴-0.22%;4#大阴-0.52%,大阴
6,4,4,2026-03-20 21:13:00,17506.0,2026-03-20 21:14:00,17525.0,1,0.10853421683994059,True,-0.10853421683994059,False,1#倒T+0.00%;2#中阴-0.16%;3#大阴-0.67%;4#长下影阳+0.22%,中阴
6,4,4,2026-03-20 22:15:00,17105.0,2026-03-20 22:16:00,17062.0,1,-0.2513884828997369,False,0.2513884828997369,True,1#中阳+0.25%;2#大阴-0.46%;3#中阴-0.16%;4#T字+0.01%,大阴
6,4,4,2026-03-20 22:16:00,17062.0,2026-03-20 22:17:00,17071.0,1,0.05274879849958973,True,-0.05274879849958973,False,1#大阴-0.46%;2#中阴-0.16%;3#T字+0.01%;4#大阴-0.39%,中阴
6,4,4,2026-03-20 22:17:00,17071.0,2026-03-20 22:18:00,17021.0,1,-0.29289438228574777,False,0.29289438228574777,True,1#中阴-0.16%;2#T字+0.01%;3#大阴-0.39%;4#中阴-0.19%,长下影阳
6,4,4,2026-03-20 22:18:00,17021.0,2026-03-20 22:19:00,16950.0,1,-0.4171317783913988,False,0.4171317783913988,True,1#T字+0.01%;2#大阴-0.39%;3#中阴-0.19%;4#长下影阳+0.05%,中阴
6,4,4,2026-03-20 22:32:00,17097.0,2026-03-20 22:33:00,17122.0,1,0.14622448382757208,True,-0.14622448382757208,False,1#十字星-0.01%;2#长上影阴-0.08%;3#中阳+0.11%;4#大阳+0.71%,中阴
6,4,4,2026-03-20 22:36:00,17222.0,2026-03-20 22:37:00,17263.0,1,0.23806758796887703,True,-0.23806758796887703,False,1#中阴-0.17%;2#中阳+0.14%;3#大阳+0.49%;4#T字+0.01%,长上影阳
6,4,4,2026-03-20 22:37:00,17263.0,2026-03-20 22:38:00,17211.0,1,-0.3012222672768349,False,0.3012222672768349,True,1#中阳+0.14%;2#大阳+0.49%;3#T字+0.01%;4#长上影阳+0.12%,大阳
7,5,5,2026-03-19 14:20:00,18324.0,2026-03-19 14:21:00,18300.0,1,-0.13097576948264572,False,0.13097576948264572,True,1#长下影阴-0.02%;2#中阴-0.12%;3#T字-0.01%;4#大阴-0.25%;5#中阴-0.15%,大阴
7,5,5,2026-03-19 14:21:00,18300.0,2026-03-19 14:22:00,18288.0,1,-0.06557377049180328,False,0.06557377049180328,True,1#中阴-0.12%;2#T字-0.01%;3#大阴-0.25%;4#中阴-0.15%;5#大阴-0.23%,中阴
7,5,5,2026-03-19 14:36:00,17915.0,2026-03-19 14:37:00,17994.0,1,0.440971253139827,True,-0.440971253139827,False,1#T字+0.00%;2#倒T-0.02%;3#大阴-0.34%;4#长下影阴-0.09%;5#长下影阳+0.03%,大阴
7,5,5,2026-03-19 14:37:00,17994.0,2026-03-19 14:38:00,17873.0,1,-0.6724463710125597,False,0.6724463710125597,True,1#倒T-0.02%;2#大阴-0.34%;3#长下影阴-0.09%;4#长下影阳+0.03%;5#大阴-0.48%,中阳
