combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
5,2,2,2026-03-19 10:53:00,18983.0,2026-03-19 10:55:00,19006.0,2,0.12116103882421113,True,-0.12116103882421113,False,1#长上影阴-0.06%;2#长下影阳+0.07%,大阳
5,2,2,2026-03-19 10:54:00,19008.0,2026-03-19 10:56:00,19016.0,2,0.04208754208754208,True,-0.04208754208754208,False,1#长下影阳+0.07%;2#大阳+0.08%,大阳
5,2,2,2026-03-19 10:55:00,19006.0,2026-03-19 10:57:00,18997.0,2,-0.04735346732610754,False,0.04735346732610754,True,1#大阳+0.08%;2#大阳+0.15%,长下影阴
5,2,2,2026-03-19 10:57:00,18997.0,2026-03-19 10:59:00,18984.0,2,-0.06843185766173607,False,0.06843185766173607,True,1#长下影阴-0.02%;2#大阳+0.07%,大阴
5,2,2,2026-03-19 11:01:00,19013.0,2026-03-19 11:03:00,18986.0,2,-0.14200809972124334,False,0.14200809972124334,True,1#中阴-0.04%;2#大阳+0.14%,长下影阳
5,2,2,2026-03-19 11:02:00,19006.0,2026-03-19 11:04:00,18971.0,2,-0.18415237293486267,False,0.18415237293486267,True,1#大阳+0.14%;2#长下影阳+0.02%,中阴
5,2,2,2026-03-19 11:06:00,18958.0,2026-03-19 11:08:00,18968.0,2,0.05274818018778352,True,-0.05274818018778352,False,1#中阴-0.06%;2#中阳+0.04%,大阴
5,2,2,2026-03-19 11:08:00,18968.0,2026-03-19 11:10:00,19003.0,2,0.18452129902994518,True,-0.18452129902994518,False,1#大阴-0.09%;2#中阳+0.05%,长下影阳
5,2,2,2026-03-19 11:10:00,19003.0,2026-03-19 11:12:00,19000.0,2,-0.015786981002999526,False,0.015786981002999526,True,1#长下影阳+0.01%;2#长上影阳+0.04%,大阳
5,2,2,2026-03-19 11:11:00,18998.0,2026-03-19 11:13:00,19002.0,2,0.021054847878724078,True,-0.021054847878724078,False,1#长上影阳+0.04%;2#大阳+0.15%,中阴
5,2,2,2026-03-19 11:13:00,19002.0,2026-03-19 11:15:00,19008.0,2,0.031575623618566466,True,-0.031575623618566466,False,1#中阴-0.04%;2#长下影阳+0.01%,长下影阳
5,2,2,2026-03-19 11:14:00,19002.0,2026-03-19 11:16:00,18991.0,2,-0.057888643300705186,False,0.057888643300705186,True,1#长下影阳+0.01%;2#长下影阳+0.02%,小阳
5,2,2,2026-03-19 11:16:00,18991.0,2026-03-19 11:18:00,18970.0,2,-0.11057869517139698,False,0.11057869517139698,True,1#小阳+0.01%;2#长上影阳+0.04%,大阴
5,2,2,2026-03-19 11:20:00,18993.0,2026-03-19 11:22:00,18982.0,2,-0.057916074343179066,False,0.057916074343179066,True,1#长上影阴-0.03%;2#大阳+0.07%,长上影阳
5,2,2,2026-03-19 11:21:00,18995.0,2026-03-19 11:23:00,18968.0,2,-0.14214266912345355,False,0.14214266912345355,True,1#大阳+0.07%;2#长上影阳+0.04%,T字
5,2,2,2026-03-19 11:22:00,18982.0,2026-03-19 11:24:00,18954.0,2,-0.1475081656305974,False,0.1475081656305974,True,1#长上影阳+0.04%;2#T字-0.01%,中阴
5,2,2,2026-03-19 11:28:00,18949.0,2026-03-19 11:30:00,18940.0,2,-0.04749591007441026,False,0.04749591007441026,True,1#大阴-0.13%;2#长上影阳+0.03%,大阳
5,2,2,2026-03-19 11:29:00,18956.0,2026-03-19 13:31:00,18811.0,2,-0.7649293099810086,False,0.7649293099810086,True,1#长上影阳+0.03%;2#大阳+0.11%,长下影阳
5,2,2,2026-03-19 11:30:00,18940.0,2026-03-19 13:32:00,18746.0,2,-1.0242872228088702,False,1.0242872228088702,True,1#大阳+0.11%;2#长下影阳+0.03%,中阴
5,2,2,2026-03-19 13:34:00,18732.0,2026-03-19 13:36:00,18700.0,2,-0.1708306641042067,False,0.1708306641042067,True,1#大阴-0.30%;2#大阳+0.18%,大阴
5,2,2,2026-03-19 13:41:00,18657.0,2026-03-19 13:43:00,18658.0,2,0.005359918529238355,True,-0.005359918529238355,False,1#大阴-0.33%;2#中阳+0.06%,大阳
5,2,2,2026-03-19 13:42:00,18677.0,2026-03-19 13:44:00,18631.0,2,-0.2462922310863629,False,0.2462922310863629,True,1#中阳+0.06%;2#大阳+0.21%,大阳
5,2,2,2026-03-19 13:43:00,18658.0,2026-03-19 13:45:00,18619.0,2,-0.20902561903741024,False,0.20902561903741024,True,1#大阳+0.21%;2#大阳+0.11%,大阴
5,2,2,2026-03-19 13:48:00,18602.0,2026-03-19 13:50:00,18573.0,2,-0.15589721535318782,False,0.15589721535318782,True,1#大阴-0.37%;2#长上影阳+0.10%,长下影阳
5,2,2,2026-03-19 13:49:00,18595.0,2026-03-19 13:51:00,18601.0,2,0.032266738370529714,True,-0.032266738370529714,False,1#长上影阳+0.10%;2#长下影阳+0.12%,长上影阴
5,2,2,2026-03-19 13:52:00,18606.0,2026-03-19 13:54:00,18571.0,2,-0.18811136192626035,False,0.18811136192626035,True,1#中阴-0.13%;2#大阳+0.24%,长下影阳
5,2,2,2026-03-19 13:53:00,18592.0,2026-03-19 13:55:00,18557.0,2,-0.18825301204819278,False,0.18825301204819278,True,1#大阳+0.24%;2#长下影阳+0.07%,大阴
5,2,2,2026-03-19 13:59:00,18461.0,2026-03-19 14:01:00,18440.0,2,-0.11375331780510264,False,0.11375331780510264,True,1#长上影阴-0.09%;2#大阳+0.10%,大阴
5,2,2,2026-03-19 14:02:00,18485.0,2026-03-19 14:04:00,18481.0,2,-0.021639166892074655,False,0.021639166892074655,True,1#大阴-0.33%;2#大阳+0.22%,中阳
5,2,2,2026-03-19 14:03:00,18488.0,2026-03-19 14:05:00,18520.0,2,0.17308524448290782,True,-0.17308524448290782,False,1#大阳+0.22%;2#中阳+0.19%,T字
5,2,2,2026-03-19 14:04:00,18481.0,2026-03-19 14:06:00,18545.0,2,0.34630160705589524,True,-0.34630160705589524,False,1#中阳+0.19%;2#T字-0.01%,大阴
5,2,2,2026-03-19 14:06:00,18545.0,2026-03-19 14:08:00,18466.0,2,-0.4259908331086546,False,0.4259908331086546,True,1#大阴-0.14%;2#大阳+0.21%,大阳
5,2,2,2026-03-19 14:07:00,18520.0,2026-03-19 14:09:00,18466.0,2,-0.2915766738660907,False,0.2915766738660907,True,1#大阳+0.21%;2#大阳+0.15%,中阴
