combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
5,3,3,2026-03-19 10:56:00,19016.0,2026-03-19 10:57:00,18997.0,1,-0.09991586032814471,False,0.09991586032814471,True,1#大阳+0.08%;2#大阳+0.15%;3#长下影阴-0.02%,大阳
5,3,3,2026-03-19 11:03:00,18986.0,2026-03-19 11:04:00,18971.0,1,-0.07900558306120299,False,0.07900558306120299,True,1#大阳+0.14%;2#长下影阳+0.02%;3#中阴-0.04%,大阴
5,3,3,2026-03-19 11:12:00,19000.0,2026-03-19 11:13:00,19002.0,1,0.010526315789473684,True,-0.010526315789473684,False,1#长上影阳+0.04%;2#大阳+0.15%;3#中阴-0.04%,长下影阳
5,3,3,2026-03-19 11:17:00,18976.0,2026-03-19 11:18:00,18970.0,1,-0.031618887015177066,False,0.031618887015177066,True,1#小阳+0.01%;2#长上影阳+0.04%;3#大阴-0.09%,大阴
5,3,3,2026-03-19 11:23:00,18968.0,2026-03-19 11:24:00,18954.0,1,-0.07380851961197807,False,0.07380851961197807,True,1#长上影阳+0.04%;2#T字-0.01%;3#中阴-0.07%,大阴
5,3,3,2026-03-19 13:31:00,18811.0,2026-03-19 13:32:00,18746.0,1,-0.3455425017277125,False,0.3455425017277125,True,1#大阳+0.11%;2#长下影阳+0.03%;3#中阴-0.07%,中阴
5,3,3,2026-03-19 13:44:00,18631.0,2026-03-19 13:45:00,18619.0,1,-0.06440878106381837,False,0.06440878106381837,True,1#大阳+0.21%;2#大阳+0.11%;3#大阴-0.10%,中阴
5,3,3,2026-03-19 13:50:00,18573.0,2026-03-19 13:51:00,18601.0,1,0.15075647445216173,True,-0.15075647445216173,False,1#长上影阳+0.10%;2#长下影阳+0.12%;3#长上影阴-0.03%,中阴
5,3,3,2026-03-19 13:54:00,18571.0,2026-03-19 13:55:00,18557.0,1,-0.07538635506973237,False,0.07538635506973237,True,1#大阳+0.24%;2#长下影阳+0.07%;3#大阴-0.06%,中阴
5,3,3,2026-03-19 14:05:00,18520.0,2026-03-19 14:06:00,18545.0,1,0.13498920086393087,True,-0.13498920086393087,False,1#中阳+0.19%;2#T字-0.01%;3#大阴-0.14%,大阳
5,3,3,2026-03-19 14:08:00,18466.0,2026-03-19 14:09:00,18466.0,1,0.0,False,0.0,False,1#大阳+0.21%;2#大阳+0.15%;3#中阴-0.08%,大阴
5,3,3,2026-03-19 14:28:00,18212.0,2026-03-19 14:29:00,18127.0,1,-0.46672523610806066,False,0.46672523610806066,True,1#大阳+0.31%;2#长下影阴-0.23%;3#长下影阴-0.04%,大阳
5,3,3,2026-03-19 21:08:00,16580.0,2026-03-19 21:09:00,16513.0,1,-0.40410132689987943,False,0.40410132689987943,True,1#大阳+0.97%;2#长上影阳+0.07%;3#中阴-0.27%,大阳
5,3,3,2026-03-19 21:21:00,16974.0,2026-03-19 21:22:00,16871.0,1,-0.6068104159302462,False,0.6068104159302462,True,1#大阳+0.68%;2#大阳+0.48%;3#长下影阴-0.17%,长下影阳
5,3,3,2026-03-19 21:34:00,16797.0,2026-03-19 21:35:00,16902.0,1,0.6251116270762637,True,-0.6251116270762637,False,1#中阳+0.38%;2#大阳+0.58%;3#长上影阴-0.20%,倒T
5,3,3,2026-03-19 22:14:00,17347.0,2026-03-19 22:15:00,17362.0,1,0.08647028304605983,True,-0.08647028304605983,False,1#长下影阳+0.09%;2#T字+0.04%;3#长上影阴-0.09%,大阴
5,3,3,2026-03-19 22:47:00,17294.0,2026-03-19 22:48:00,17289.0,1,-0.02891176130449867,False,0.02891176130449867,True,1#长上影阳+0.03%;2#长上影阳+0.05%;3#中阴-0.12%,长上影阳
5,3,3,2026-03-19 22:54:00,17375.0,2026-03-19 22:55:00,17381.0,1,0.03453237410071943,True,-0.03453237410071943,False,1#长下影阳+0.06%;2#长下影阳+0.11%;3#中阴-0.09%,十字星
5,3,3,2026-03-19 23:08:00,17450.0,2026-03-19 23:09:00,17463.0,1,0.07449856733524356,True,-0.07449856733524356,False,1#大阳+0.74%;2#大阳+0.31%;3#中阴-0.17%,大阴
5,3,3,2026-03-19 23:12:00,17444.0,2026-03-19 23:13:00,17457.0,1,0.07452419169915157,True,-0.07452419169915157,False,1#长下影阳+0.06%;2#中阳+0.11%;3#长下影阴-0.06%,大阴
5,3,3,2026-03-19 23:17:00,17472.0,2026-03-19 23:18:00,17441.0,1,-0.17742673992673993,False,0.17742673992673993,True,1#大阳+0.23%;2#大阳+0.13%;3#大阴-0.18%,长下影阴
5,3,3,2026-03-19 23:32:00,17279.0,2026-03-19 23:33:00,17217.0,1,-0.35881706117252155,False,0.35881706117252155,True,1#大阳+0.16%;2#长下影阳+0.04%;3#大阴-0.29%,大阴
5,3,3,2026-03-19 23:39:00,17204.0,2026-03-19 23:40:00,17214.0,1,0.0581260172053011,True,-0.0581260172053011,False,1#长下影阳+0.15%;2#长上影阳+0.09%;3#大阴-0.22%,中阴
5,3,3,2026-03-19 23:40:00,17214.0,2026-03-19 23:41:00,17217.0,1,0.01742767514813524,True,-0.01742767514813524,False,1#长上影阳+0.09%;2#大阴-0.22%;3#中阴-0.05%,长下影阳
5,3,3,2026-03-19 23:43:00,17194.0,2026-03-19 23:44:00,17211.0,1,0.09887169943003374,True,-0.09887169943003374,False,1#长下影阳+0.09%;2#T字-0.02%;3#中阴-0.09%,长下影阴
5,3,3,2026-03-19 23:54:00,17324.0,2026-03-19 23:55:00,17319.0,1,-0.028861694758716232,False,0.028861694758716232,True,1#长下影阳+0.03%;2#长上影阳+0.05%;3#中阴-0.11%,大阳
5,3,3,2026-03-20 00:02:00,17418.0,2026-03-20 00:03:00,17426.0,1,0.04592949822023194,True,-0.04592949822023194,False,1#小阳+0.07%;2#十字星+0.00%;3#长下影阴-0.02%,大阳
5,3,3,2026-03-20 00:06:00,17454.0,2026-03-20 00:07:00,17437.0,1,-0.09739887704824109,False,0.09739887704824109,True,1#长下影阳+0.05%;2#中阳+0.13%;3#大阴-0.17%,大阳
5,3,3,2026-03-20 00:15:00,17414.0,2026-03-20 00:16:00,17428.0,1,0.08039508441483864,True,-0.08039508441483864,False,1#中阳+0.14%;2#中阳+0.06%;3#大阴-0.11%,中阴
5,3,3,2026-03-20 00:23:00,17428.0,2026-03-20 00:24:00,17420.0,1,-0.04590314436538903,False,0.04590314436538903,True,1#大阳+0.23%;2#大阳+0.24%;3#大阴-0.09%,大阴
5,3,3,2026-03-20 00:44:00,17417.0,2026-03-20 00:45:00,17431.0,1,0.08038123672274215,True,-0.08038123672274215,False,1#大阳+0.08%;2#大阳+0.11%;3#大阴-0.10%,中阴
5,3,3,2026-03-20 01:00:00,17350.0,2026-03-20 01:01:00,17371.0,1,0.12103746397694524,True,-0.12103746397694524,False,1#大阳+0.07%;2#大阳+0.09%;3#长下影阴-0.05%,中阴
5,3,3,2026-03-20 01:06:00,17437.0,2026-03-20 01:07:00,17429.0,1,-0.045879451740551705,False,0.045879451740551705,True,1#大阳+0.32%;2#中阳+0.09%;3#大阴-0.07%,大阳
