combo_type,length,start_time,end_time,long_pnl,long_pnl_pct,long_win,short_pnl,short_pnl_pct,short_win
震荡_阴线_5K,5,2026-03-19 10:43:00,2026-03-19 10:47:00,-11.0,-0.057836899942163095,False,11.0,0.057836899942163095,True
震荡_阴线_5K,5,2026-03-19 10:44:00,2026-03-19 10:48:00,-45.0,-0.23622047244094488,False,45.0,0.23622047244094488,True
震荡_阴线_5K,5,2026-03-19 10:45:00,2026-03-19 10:49:00,-60.0,-0.3152419481952399,False,60.0,0.3152419481952399,True
震荡_阴线_5K,5,2026-03-19 10:46:00,2026-03-19 10:50:00,-58.0,-0.30479793998633664,False,58.0,0.30479793998633664,True
震荡_阴线_5K,5,2026-03-19 10:47:00,2026-03-19 10:51:00,-60.0,-0.3154905878641287,False,60.0,0.3154905878641287,True
震荡_阴线_5K,5,2026-03-19 10:48:00,2026-03-19 10:52:00,-38.0,-0.1999158249158249,False,38.0,0.1999158249158249,True
震荡_阴线_5K,5,2026-03-19 10:49:00,2026-03-19 10:53:00,-22.0,-0.1157590107866351,False,22.0,0.1157590107866351,True
震荡_阳线_5K,5,2026-03-19 10:50:00,2026-03-19 10:54:00,36.0,0.18975332068311196,True,-36.0,-0.18975332068311196,False
震荡_阴线_5K,5,2026-03-19 10:51:00,2026-03-19 10:55:00,36.0,0.18977332630469163,True,-36.0,-0.18977332630469163,False
震荡_阳线_5K,5,2026-03-19 10:52:00,2026-03-19 10:56:00,60.0,0.3165224730955898,True,-60.0,-0.3165224730955898,False
震荡_阳线_5K,5,2026-03-19 10:53:00,2026-03-19 10:57:00,29.0,0.15288907633909743,True,-29.0,-0.15288907633909743,False
震荡_阴线_5K,5,2026-03-19 10:54:00,2026-03-19 10:58:00,13.0,0.06849675957637388,True,-13.0,-0.06849675957637388,False
震荡_阴线_5K,5,2026-03-19 10:55:00,2026-03-19 10:59:00,-26.0,-0.1367701209889532,False,26.0,0.1367701209889532,True
震荡_阴线_5K,5,2026-03-19 10:56:00,2026-03-19 11:00:00,7.0,0.036836289006998896,True,-7.0,-0.036836289006998896,False
震荡_阴线_5K,5,2026-03-19 10:57:00,2026-03-19 11:01:00,-3.0,-0.015776188472864956,False,3.0,0.015776188472864956,True
震荡_阴线_5K,5,2026-03-19 10:58:00,2026-03-19 11:02:00,8.0,0.042109695757448155,True,-8.0,-0.042109695757448155,False
