combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
7,5,5,2026-03-19 00:10:00,134290.0,2026-03-19 00:11:00,134230.0,1,-0.04467942512473006,False,0.04467942512473006,True,1#大阴-0.03%;2#长上影阳+0.01%;3#大阳+0.03%;4#长上影阳+0.02%;5#长下影阴-0.01%,大阴
7,5,5,2026-03-19 00:18:00,134480.0,2026-03-19 00:19:00,134460.0,1,-0.0148720999405116,False,0.0148720999405116,True,1#长下影阴-0.01%;2#大阳+0.07%;3#中阳+0.01%;4#大阳+0.11%;5#长上影阳+0.01%,大阴
7,5,5,2026-03-19 09:51:00,131850.0,2026-03-19 09:52:00,131950.0,1,0.07584376185058779,True,-0.07584376185058779,False,1#大阴-0.09%;2#大阳+0.12%;3#大阳+0.08%;4#中阳+0.03%;5#中阳+0.02%,中阴
7,5,5,2026-03-19 10:35:00,132120.0,2026-03-19 10:36:00,132250.0,1,0.09839539812291856,True,-0.09839539812291856,False,1#中阴-0.03%;2#十字星+0.01%;3#大阳+0.06%;4#大阳+0.06%;5#大阳+0.08%,十字星
7,5,5,2026-03-19 10:36:00,132250.0,2026-03-19 10:37:00,132370.0,1,0.09073724007561437,True,-0.09073724007561437,False,1#十字星+0.01%;2#大阳+0.06%;3#大阳+0.06%;4#大阳+0.08%;5#十字星+0.00%,大阳
7,5,5,2026-03-19 10:37:00,132370.0,2026-03-19 10:38:00,132300.0,1,-0.052882072977260705,False,0.052882072977260705,True,1#大阳+0.06%;2#大阳+0.06%;3#大阳+0.08%;4#十字星+0.00%;5#大阳+0.10%,大阳
7,5,5,2026-03-19 10:38:00,132300.0,2026-03-19 10:39:00,132160.0,1,-0.10582010582010583,False,0.10582010582010583,True,1#大阳+0.06%;2#大阳+0.08%;3#十字星+0.00%;4#大阳+0.10%;5#大阳+0.12%,大阴
7,5,5,2026-03-19 10:49:00,132270.0,2026-03-19 10:50:00,132210.0,1,-0.04536176003628941,False,0.04536176003628941,True,1#大阴-0.11%;2#中阳+0.05%;3#小阳+0.01%;4#长下影阳+0.02%;5#大阳+0.05%,中阴
7,5,5,2026-03-19 14:15:00,130800.0,2026-03-19 14:16:00,130810.0,1,0.00764525993883792,True,-0.00764525993883792,False,1#长下影阴-0.04%;2#中阳+0.08%;3#大阳+0.15%;4#大阳+0.14%;5#大阳+0.08%,小阳
7,5,5,2026-03-19 14:16:00,130810.0,2026-03-19 14:17:00,130870.0,1,0.045868052901154345,True,-0.045868052901154345,False,1#中阳+0.08%;2#大阳+0.15%;3#大阳+0.14%;4#大阳+0.08%;5#小阳+0.03%,十字星
7,5,5,2026-03-19 14:17:00,130870.0,2026-03-19 14:18:00,130920.0,1,0.038205853136700545,True,-0.038205853136700545,False,1#大阳+0.15%;2#大阳+0.14%;3#大阳+0.08%;4#小阳+0.03%;5#十字星+0.02%,中阳
7,5,5,2026-03-19 14:18:00,130920.0,2026-03-19 14:19:00,131020.0,1,0.07638252367858234,True,-0.07638252367858234,False,1#大阳+0.14%;2#大阳+0.08%;3#小阳+0.03%;4#十字星+0.02%;5#中阳+0.05%,中阳
7,5,5,2026-03-19 14:19:00,131020.0,2026-03-19 14:20:00,131050.0,1,0.022897267592733934,True,-0.022897267592733934,False,1#大阳+0.08%;2#小阳+0.03%;3#十字星+0.02%;4#中阳+0.05%;5#中阳+0.06%,中阳
7,5,5,2026-03-19 14:20:00,131050.0,2026-03-19 14:21:00,131050.0,1,0.0,False,0.0,False,1#小阳+0.03%;2#十字星+0.02%;3#中阳+0.05%;4#中阳+0.06%;5#中阳+0.08%,长上影阳
7,5,5,2026-03-19 14:21:00,131050.0,2026-03-19 14:22:00,130970.0,1,-0.06104540251812285,False,0.06104540251812285,True,1#十字星+0.02%;2#中阳+0.05%;3#中阳+0.06%;4#中阳+0.08%;5#长上影阳+0.02%,T字
7,5,5,2026-03-19 14:29:00,131400.0,2026-03-19 14:30:00,131570.0,1,0.1293759512937595,True,-0.1293759512937595,False,1#中阴-0.05%;2#大阳+0.13%;3#长下影阳+0.04%;4#中阳+0.03%;5#大阳+0.18%,中阳
7,5,5,2026-03-19 14:30:00,131570.0,2026-03-19 14:31:00,131610.0,1,0.03040206734057916,True,-0.03040206734057916,False,1#大阳+0.13%;2#长下影阳+0.04%;3#中阳+0.03%;4#大阳+0.18%;5#中阳+0.11%,大阳
7,5,5,2026-03-19 14:31:00,131610.0,2026-03-19 14:32:00,131490.0,1,-0.09117848187827673,False,0.09117848187827673,True,1#长下影阳+0.04%;2#中阳+0.03%;3#大阳+0.18%;4#中阳+0.11%;5#大阳+0.13%,长下影阳
