combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
5,2,2,2026-03-19 10:45:00,19026.0,2026-03-19 10:47:00,19008.0,2,-0.0946073793755913,False,0.0946073793755913,True,1#大阳+0.17%;2#中阴-0.10%,中阴
5,2,2,2026-03-19 10:46:00,19020.0,2026-03-19 10:48:00,19005.0,2,-0.07886435331230283,False,0.07886435331230283,True,1#中阴-0.10%;2#中阴-0.04%,中阴
5,2,2,2026-03-19 10:47:00,19008.0,2026-03-19 10:49:00,18973.0,2,-0.18413299663299665,False,0.18413299663299665,True,1#中阴-0.04%;2#中阴-0.05%,中阴
5,2,2,2026-03-19 10:48:00,19005.0,2026-03-19 10:50:00,18971.0,2,-0.17890028939752697,False,0.17890028939752697,True,1#中阴-0.05%;2#中阴-0.05%,小阴
5,2,2,2026-03-19 10:49:00,18973.0,2026-03-19 10:51:00,18958.0,2,-0.07905971643915037,False,0.07905971643915037,True,1#中阴-0.05%;2#小阴-0.02%,大阴
5,2,2,2026-03-19 10:50:00,18971.0,2026-03-19 10:52:00,18970.0,2,-0.005271203415739814,False,0.005271203415739814,True,1#小阴-0.02%;2#大阴-0.17%,倒T
5,2,2,2026-03-19 10:51:00,18958.0,2026-03-19 10:53:00,18983.0,2,0.1318704504694588,True,-0.1318704504694588,False,1#大阴-0.17%;2#倒T-0.01%,长上影阴
5,2,2,2026-03-19 10:52:00,18970.0,2026-03-19 10:54:00,19008.0,2,0.20031628887717448,True,-0.20031628887717448,False,1#倒T-0.01%;2#长上影阴-0.06%,长下影阳
5,2,2,2026-03-19 10:56:00,19016.0,2026-03-19 10:58:00,18992.0,2,-0.12620950778291964,False,0.12620950778291964,True,1#大阳+0.15%;2#长下影阴-0.02%,大阳
5,2,2,2026-03-19 10:58:00,18992.0,2026-03-19 11:00:00,19010.0,2,0.09477674810446504,True,-0.09477674810446504,False,1#大阳+0.07%;2#大阴-0.10%,长下影阴
5,2,2,2026-03-19 10:59:00,18984.0,2026-03-19 11:01:00,19013.0,2,0.15276021913190055,True,-0.15276021913190055,False,1#大阴-0.10%;2#长下影阴-0.03%,中阴
5,2,2,2026-03-19 11:00:00,19010.0,2026-03-19 11:02:00,19006.0,2,-0.021041557075223566,False,0.021041557075223566,True,1#长下影阴-0.03%;2#中阴-0.04%,大阳
5,2,2,2026-03-19 11:03:00,18986.0,2026-03-19 11:05:00,18977.0,2,-0.04740334983672179,False,0.04740334983672179,True,1#长下影阳+0.02%;2#中阴-0.04%,大阴
5,2,2,2026-03-19 11:04:00,18971.0,2026-03-19 11:06:00,18958.0,2,-0.06852564440461757,False,0.06852564440461757,True,1#中阴-0.04%;2#大阴-0.11%,中阴
5,2,2,2026-03-19 11:05:00,18977.0,2026-03-19 11:07:00,18968.0,2,-0.047425831269431416,False,0.047425831269431416,True,1#大阴-0.11%;2#中阴-0.06%,中阳
5,2,2,2026-03-19 11:07:00,18968.0,2026-03-19 11:09:00,18974.0,2,0.03163222269084774,True,-0.03163222269084774,False,1#中阳+0.04%;2#大阴-0.09%,中阳
5,2,2,2026-03-19 11:12:00,19000.0,2026-03-19 11:14:00,19002.0,2,0.010526315789473684,True,-0.010526315789473684,False,1#大阳+0.15%;2#中阴-0.04%,长下影阳
5,2,2,2026-03-19 11:17:00,18976.0,2026-03-19 11:19:00,18985.0,2,0.0474283305227656,True,-0.0474283305227656,False,1#长上影阳+0.04%;2#大阴-0.09%,大阴
5,2,2,2026-03-19 11:18:00,18970.0,2026-03-19 11:20:00,18993.0,2,0.12124406958355298,True,-0.12124406958355298,False,1#大阴-0.09%;2#大阴-0.08%,长上影阴
5,2,2,2026-03-19 11:19:00,18985.0,2026-03-19 11:21:00,18995.0,2,0.05267316302343956,True,-0.05267316302343956,False,1#大阴-0.08%;2#长上影阴-0.03%,大阳
5,2,2,2026-03-19 11:23:00,18968.0,2026-03-19 11:25:00,18946.0,2,-0.1159848165331084,False,0.1159848165331084,True,1#T字-0.01%;2#中阴-0.07%,大阴
5,2,2,2026-03-19 11:24:00,18954.0,2026-03-19 11:26:00,18924.0,2,-0.15827793605571383,False,0.15827793605571383,True,1#中阴-0.07%;2#大阴-0.09%,大阴
5,2,2,2026-03-19 11:25:00,18946.0,2026-03-19 11:27:00,18928.0,2,-0.0950068616066716,False,0.0950068616066716,True,1#大阴-0.09%;2#大阴-0.09%,中阴
5,2,2,2026-03-19 11:26:00,18924.0,2026-03-19 11:28:00,18949.0,2,0.13210737687592475,True,-0.13210737687592475,False,1#大阴-0.09%;2#中阴-0.04%,大阴
5,2,2,2026-03-19 11:27:00,18928.0,2026-03-19 11:29:00,18956.0,2,0.14792899408284024,True,-0.14792899408284024,False,1#中阴-0.04%;2#大阴-0.13%,长上影阳
5,2,2,2026-03-19 13:31:00,18811.0,2026-03-19 13:33:00,18783.0,2,-0.14884907766732233,False,0.14884907766732233,True,1#长下影阳+0.03%;2#中阴-0.07%,中阴
5,2,2,2026-03-19 13:32:00,18746.0,2026-03-19 13:34:00,18732.0,2,-0.07468259895444362,False,0.07468259895444362,True,1#中阴-0.07%;2#中阴-0.21%,大阴
5,2,2,2026-03-19 13:33:00,18783.0,2026-03-19 13:35:00,18717.0,2,-0.3513815684395464,False,0.3513815684395464,True,1#中阴-0.21%;2#大阴-0.30%,大阳
5,2,2,2026-03-19 13:35:00,18717.0,2026-03-19 13:37:00,18681.0,2,-0.1923385157877865,False,0.1923385157877865,True,1#大阳+0.18%;2#大阴-0.28%,长下影阴
5,2,2,2026-03-19 13:36:00,18700.0,2026-03-19 13:38:00,18667.0,2,-0.17647058823529413,False,0.17647058823529413,True,1#大阴-0.28%;2#长下影阴-0.13%,长下影阴
5,2,2,2026-03-19 13:37:00,18681.0,2026-03-19 13:39:00,18606.0,2,-0.4014774369680424,False,0.4014774369680424,True,1#长下影阴-0.13%;2#长下影阴-0.10%,长上影阴
5,2,2,2026-03-19 13:38:00,18667.0,2026-03-19 13:40:00,18617.0,2,-0.2678523597792897,False,0.2678523597792897,True,1#长下影阴-0.10%;2#长上影阴-0.05%,中阴
5,2,2,2026-03-19 13:39:00,18606.0,2026-03-19 13:41:00,18657.0,2,0.2741051273782651,True,-0.2741051273782651,False,1#长上影阴-0.05%;2#中阴-0.07%,大阴
5,2,2,2026-03-19 13:40:00,18617.0,2026-03-19 13:42:00,18677.0,2,0.32228608261266584,True,-0.32228608261266584,False,1#中阴-0.07%;2#大阴-0.33%,中阳
5,2,2,2026-03-19 13:44:00,18631.0,2026-03-19 13:46:00,18546.0,2,-0.4562288658687135,False,0.4562288658687135,True,1#大阳+0.11%;2#大阴-0.10%,中阴
5,2,2,2026-03-19 13:45:00,18619.0,2026-03-19 13:47:00,18579.0,2,-0.21483430903915354,False,0.21483430903915354,True,1#大阴-0.10%;2#中阴-0.16%,倒T
5,2,2,2026-03-19 13:46:00,18546.0,2026-03-19 13:48:00,18602.0,2,0.30195190337539096,True,-0.30195190337539096,False,1#中阴-0.16%;2#倒T+0.01%,大阴
5,2,2,2026-03-19 13:47:00,18579.0,2026-03-19 13:49:00,18595.0,2,0.08611873620754615,True,-0.08611873620754615,False,1#倒T+0.01%;2#大阴-0.37%,长上影阳
5,2,2,2026-03-19 13:50:00,18573.0,2026-03-19 13:52:00,18606.0,2,0.17767727346147633,True,-0.17767727346147633,False,1#长下影阳+0.12%;2#长上影阴-0.03%,中阴
5,2,2,2026-03-19 13:51:00,18601.0,2026-03-19 13:53:00,18592.0,2,-0.04838449545723349,False,0.04838449545723349,True,1#长上影阴-0.03%;2#中阴-0.13%,大阳
5,2,2,2026-03-19 13:54:00,18571.0,2026-03-19 13:56:00,18498.0,2,-0.393085994292176,False,0.393085994292176,True,1#长下影阳+0.07%;2#大阴-0.06%,中阴
5,2,2,2026-03-19 13:55:00,18557.0,2026-03-19 13:57:00,18449.0,2,-0.5819906234843993,False,0.5819906234843993,True,1#大阴-0.06%;2#中阴-0.14%,中阴
5,2,2,2026-03-19 13:56:00,18498.0,2026-03-19 13:58:00,18480.0,2,-0.09730781706130393,False,0.09730781706130393,True,1#中阴-0.14%;2#中阴-0.11%,大阴
5,2,2,2026-03-19 13:57:00,18449.0,2026-03-19 13:59:00,18461.0,2,0.06504417583608868,True,-0.06504417583608868,False,1#中阴-0.11%;2#大阴-0.33%,长上影阴
5,2,2,2026-03-19 13:58:00,18480.0,2026-03-19 14:00:00,18396.0,2,-0.45454545454545453,False,0.45454545454545453,True,1#大阴-0.33%;2#长上影阴-0.09%,大阳
5,2,2,2026-03-19 14:00:00,18396.0,2026-03-19 14:02:00,18485.0,2,0.48380082626657966,True,-0.48380082626657966,False,1#大阳+0.10%;2#大阴-0.10%,大阴
