combo_type,length,start_time,end_time,long_pnl,long_pnl_pct,long_win,short_pnl,short_pnl_pct,short_win
震荡_阴线_5K,5,2026-03-18 23:42:00,2026-03-18 23:46:00,-410.0,-0.11475272187858603,False,410.0,0.11475272187858603,True
震荡_阴线_5K,5,2026-03-18 23:43:00,2026-03-18 23:47:00,-430.0,-0.12049543238244691,False,430.0,0.12049543238244691,True
震荡_阴线_5K,5,2026-03-18 23:44:00,2026-03-18 23:48:00,-290.0,-0.08126663864368783,False,290.0,0.08126663864368783,True
震荡_阴线_5K,5,2026-03-18 23:45:00,2026-03-18 23:49:00,-230.0,-0.0644582702763298,False,230.0,0.0644582702763298,True
震荡_阳线_5K,5,2026-03-18 23:46:00,2026-03-18 23:50:00,-150.0,-0.04204978694774613,False,150.0,0.04204978694774613,True
震荡_阴线_5K,5,2026-03-18 23:47:00,2026-03-18 23:51:00,-150.0,-0.04203093476798924,False,150.0,0.04203093476798924,True
震荡_阳线_5K,5,2026-03-18 23:48:00,2026-03-18 23:52:00,310.0,0.08696871931547201,True,-310.0,-0.08696871931547201,False
震荡_阴线_5K,5,2026-03-18 23:49:00,2026-03-18 23:53:00,-40.0,-0.01121830827911151,False,40.0,0.01121830827911151,True
震荡_阴线_5K,5,2026-03-18 23:50:00,2026-03-18 23:54:00,-420.0,-0.11778232704226141,False,420.0,0.11778232704226141,True
震荡_阴线_5K,5,2026-03-18 23:51:00,2026-03-18 23:55:00,-250.0,-0.07011246038645988,False,250.0,0.07011246038645988,True
震荡_阴线_5K,5,2026-03-18 23:52:00,2026-03-18 23:56:00,-110.0,-0.03083564600678384,False,110.0,0.03083564600678384,True
震荡_阴线_5K,5,2026-03-18 23:53:00,2026-03-18 23:57:00,-90.0,-0.02522845770028592,False,90.0,0.02522845770028592,True
震荡_阴线_5K,5,2026-03-18 23:54:00,2026-03-18 23:58:00,30.0,0.00841467519353753,True,-30.0,-0.00841467519353753,False
震荡_阳线_5K,5,2026-03-18 23:55:00,2026-03-18 23:59:00,320.0,0.08982960446902283,True,-320.0,-0.08982960446902283,False
震荡_阴线_5K,5,2026-03-18 23:56:00,2026-03-19 00:00:00,20.0,0.0056126171633832855,True,-20.0,-0.0056126171633832855,False
震荡_阴线_5K,5,2026-03-18 23:57:00,2026-03-19 00:01:00,-220.0,-0.061690314620604564,False,220.0,0.061690314620604564,True
震荡_阴线_5K,5,2026-03-18 23:58:00,2026-03-19 00:02:00,-230.0,-0.06448718667638648,False,230.0,0.06448718667638648,True
震荡_阳线_5K,5,2026-03-18 23:59:00,2026-03-19 00:03:00,10.0,0.0028048917311791766,True,-10.0,-0.0028048917311791766,False
震荡_阳线_5K,5,2026-03-19 00:00:00,2026-03-19 00:04:00,250.0,0.07010852800134608,True,-250.0,-0.07010852800134608,False
震荡_阳线_5K,5,2026-03-19 00:01:00,2026-03-19 00:05:00,380.0,0.1066337411606241,True,-380.0,-0.1066337411606241,False
震荡_阳线_5K,5,2026-03-19 00:02:00,2026-03-19 00:06:00,360.0,0.10101010101010101,True,-360.0,-0.10101010101010101,False
震荡_阳线_5K,5,2026-03-19 00:03:00,2026-03-19 00:07:00,430.0,0.1206407990348736,True,-430.0,-0.1206407990348736,False
震荡_阳线_5K,5,2026-03-19 00:04:00,2026-03-19 00:08:00,410.0,0.11501669144668555,True,-410.0,-0.11501669144668555,False
震荡_阴线_5K,5,2026-03-19 00:05:00,2026-03-19 00:09:00,-140.0,-0.03923326981280126,False,140.0,0.03923326981280126,True
震荡_星线_5K,5,2026-03-19 00:06:00,2026-03-19 00:10:00,-40.0,-0.011212647866793744,False,40.0,0.011212647866793744,True
震荡_星线_5K,5,2026-03-19 00:07:00,2026-03-19 00:11:00,-30.0,-0.00840665807319397,False,30.0,0.00840665807319397,True
震荡_阴线_5K,5,2026-03-19 00:08:00,2026-03-19 00:12:00,-60.0,-0.01681331614638794,False,60.0,0.01681331614638794,True
震荡_阴线_5K,5,2026-03-19 00:09:00,2026-03-19 00:13:00,70.0,0.019614436225061645,True,-70.0,-0.019614436225061645,False
震荡_阳线_5K,5,2026-03-19 00:10:00,2026-03-19 00:14:00,420.0,0.11774600504625736,True,-420.0,-0.11774600504625736,False
震荡_阳线_5K,5,2026-03-19 00:11:00,2026-03-19 00:15:00,570.0,0.159798149705635,True,-570.0,-0.159798149705635,False
震荡_阳线_5K,5,2026-03-19 00:12:00,2026-03-19 00:16:00,370.0,0.10369083316985679,True,-370.0,-0.10369083316985679,False
震荡_阳线_5K,5,2026-03-19 00:13:00,2026-03-19 00:17:00,410.0,0.11491031390134529,True,-410.0,-0.11491031390134529,False
震荡_阳线_5K,5,2026-03-19 00:14:00,2026-03-19 00:18:00,240.0,0.0672363076061073,True,-240.0,-0.0672363076061073,False
震荡_阴线_5K,5,2026-03-19 00:15:00,2026-03-19 00:19:00,-90.0,-0.025201612903225805,False,90.0,0.025201612903225805,True
震荡_阴线_5K,5,2026-03-19 00:16:00,2026-03-19 00:20:00,-100.0,-0.02799003554734514,False,100.0,0.02799003554734514,True
震荡_阴线_5K,5,2026-03-19 00:17:00,2026-03-19 00:21:00,170.0,0.04760171366169182,True,-170.0,-0.04760171366169182,False
震荡_阴线_5K,5,2026-03-19 00:18:00,2026-03-19 00:22:00,-30.0,-0.008397950899980404,False,30.0,0.008397950899980404,True
震荡_阳线_5K,5,2026-03-19 00:19:00,2026-03-19 00:23:00,170.0,0.04759371762927293,True,-170.0,-0.04759371762927293,False
震荡_阳线_5K,5,2026-03-19 00:20:00,2026-03-19 00:24:00,360.0,0.10081774392293043,True,-360.0,-0.10081774392293043,False
