combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
5,3,3,2026-03-19 10:46:00,19020.0,2026-03-19 10:47:00,19008.0,1,-0.06309148264984228,False,0.06309148264984228,True,1#大阳+0.17%;2#中阴-0.10%;3#中阴-0.04%,中阴
5,3,3,2026-03-19 10:47:00,19008.0,2026-03-19 10:48:00,19005.0,1,-0.015782828282828284,False,0.015782828282828284,True,1#中阴-0.10%;2#中阴-0.04%;3#中阴-0.05%,中阴
5,3,3,2026-03-19 10:48:00,19005.0,2026-03-19 10:49:00,18973.0,1,-0.1683767429623783,False,0.1683767429623783,True,1#中阴-0.04%;2#中阴-0.05%;3#中阴-0.05%,小阴
5,3,3,2026-03-19 10:49:00,18973.0,2026-03-19 10:50:00,18971.0,1,-0.01054129552522005,False,0.01054129552522005,True,1#中阴-0.05%;2#中阴-0.05%;3#小阴-0.02%,大阴
5,3,3,2026-03-19 10:50:00,18971.0,2026-03-19 10:51:00,18958.0,1,-0.06852564440461757,False,0.06852564440461757,True,1#中阴-0.05%;2#小阴-0.02%;3#大阴-0.17%,倒T
5,3,3,2026-03-19 10:51:00,18958.0,2026-03-19 10:52:00,18970.0,1,0.06329781622534023,True,-0.06329781622534023,False,1#小阴-0.02%;2#大阴-0.17%;3#倒T-0.01%,长上影阴
5,3,3,2026-03-19 10:52:00,18970.0,2026-03-19 10:53:00,18983.0,1,0.06852925672113863,True,-0.06852925672113863,False,1#大阴-0.17%;2#倒T-0.01%;3#长上影阴-0.06%,长下影阳
5,3,3,2026-03-19 10:59:00,18984.0,2026-03-19 11:00:00,19010.0,1,0.1369574378423936,True,-0.1369574378423936,False,1#大阳+0.07%;2#大阴-0.10%;3#长下影阴-0.03%,中阴
5,3,3,2026-03-19 11:00:00,19010.0,2026-03-19 11:01:00,19013.0,1,0.015781167806417674,True,-0.015781167806417674,False,1#大阴-0.10%;2#长下影阴-0.03%;3#中阴-0.04%,大阳
5,3,3,2026-03-19 11:04:00,18971.0,2026-03-19 11:05:00,18977.0,1,0.03162722049443888,True,-0.03162722049443888,False,1#长下影阳+0.02%;2#中阴-0.04%;3#大阴-0.11%,中阴
5,3,3,2026-03-19 11:05:00,18977.0,2026-03-19 11:06:00,18958.0,1,-0.10012119934657744,False,0.10012119934657744,True,1#中阴-0.04%;2#大阴-0.11%;3#中阴-0.06%,中阳
5,3,3,2026-03-19 11:18:00,18970.0,2026-03-19 11:19:00,18985.0,1,0.0790722192936215,True,-0.0790722192936215,False,1#长上影阳+0.04%;2#大阴-0.09%;3#大阴-0.08%,长上影阴
5,3,3,2026-03-19 11:19:00,18985.0,2026-03-19 11:20:00,18993.0,1,0.042138530418751645,True,-0.042138530418751645,False,1#大阴-0.09%;2#大阴-0.08%;3#长上影阴-0.03%,大阳
5,3,3,2026-03-19 11:24:00,18954.0,2026-03-19 11:25:00,18946.0,1,-0.04220744961485702,False,0.04220744961485702,True,1#T字-0.01%;2#中阴-0.07%;3#大阴-0.09%,大阴
5,3,3,2026-03-19 11:25:00,18946.0,2026-03-19 11:26:00,18924.0,1,-0.11611949751926527,False,0.11611949751926527,True,1#中阴-0.07%;2#大阴-0.09%;3#大阴-0.09%,中阴
5,3,3,2026-03-19 11:26:00,18924.0,2026-03-19 11:27:00,18928.0,1,0.02113718030014796,True,-0.02113718030014796,False,1#大阴-0.09%;2#大阴-0.09%;3#中阴-0.04%,大阴
5,3,3,2026-03-19 11:27:00,18928.0,2026-03-19 11:28:00,18949.0,1,0.11094674556213018,True,-0.11094674556213018,False,1#大阴-0.09%;2#中阴-0.04%;3#大阴-0.13%,长上影阳
5,3,3,2026-03-19 13:32:00,18746.0,2026-03-19 13:33:00,18783.0,1,0.19737544009388672,True,-0.19737544009388672,False,1#长下影阳+0.03%;2#中阴-0.07%;3#中阴-0.21%,大阴
5,3,3,2026-03-19 13:33:00,18783.0,2026-03-19 13:34:00,18732.0,1,-0.27152212106692225,False,0.27152212106692225,True,1#中阴-0.07%;2#中阴-0.21%;3#大阴-0.30%,大阳
5,3,3,2026-03-19 13:36:00,18700.0,2026-03-19 13:37:00,18681.0,1,-0.10160427807486631,False,0.10160427807486631,True,1#大阳+0.18%;2#大阴-0.28%;3#长下影阴-0.13%,长下影阴
5,3,3,2026-03-19 13:37:00,18681.0,2026-03-19 13:38:00,18667.0,1,-0.07494245490070124,False,0.07494245490070124,True,1#大阴-0.28%;2#长下影阴-0.13%;3#长下影阴-0.10%,长上影阴
5,3,3,2026-03-19 13:38:00,18667.0,2026-03-19 13:39:00,18606.0,1,-0.32677987893073335,False,0.32677987893073335,True,1#长下影阴-0.13%;2#长下影阴-0.10%;3#长上影阴-0.05%,中阴
5,3,3,2026-03-19 13:39:00,18606.0,2026-03-19 13:40:00,18617.0,1,0.05912071374825325,True,-0.05912071374825325,False,1#长下影阴-0.10%;2#长上影阴-0.05%;3#中阴-0.07%,大阴
5,3,3,2026-03-19 13:40:00,18617.0,2026-03-19 13:41:00,18657.0,1,0.2148573884084439,True,-0.2148573884084439,False,1#长上影阴-0.05%;2#中阴-0.07%;3#大阴-0.33%,中阳
5,3,3,2026-03-19 13:45:00,18619.0,2026-03-19 13:46:00,18546.0,1,-0.3920726139964552,False,0.3920726139964552,True,1#大阳+0.11%;2#大阴-0.10%;3#中阴-0.16%,倒T
5,3,3,2026-03-19 13:46:00,18546.0,2026-03-19 13:47:00,18579.0,1,0.1779359430604982,True,-0.1779359430604982,False,1#大阴-0.10%;2#中阴-0.16%;3#倒T+0.01%,大阴
5,3,3,2026-03-19 13:47:00,18579.0,2026-03-19 13:48:00,18602.0,1,0.1237956832983476,True,-0.1237956832983476,False,1#中阴-0.16%;2#倒T+0.01%;3#大阴-0.37%,长上影阳
5,3,3,2026-03-19 13:51:00,18601.0,2026-03-19 13:52:00,18606.0,1,0.0268802752540186,True,-0.0268802752540186,False,1#长下影阳+0.12%;2#长上影阴-0.03%;3#中阴-0.13%,大阳
5,3,3,2026-03-19 13:55:00,18557.0,2026-03-19 13:56:00,18498.0,1,-0.3179393220886997,False,0.3179393220886997,True,1#长下影阳+0.07%;2#大阴-0.06%;3#中阴-0.14%,中阴
5,3,3,2026-03-19 13:56:00,18498.0,2026-03-19 13:57:00,18449.0,1,-0.2648935020002163,False,0.2648935020002163,True,1#大阴-0.06%;2#中阴-0.14%;3#中阴-0.11%,大阴
5,3,3,2026-03-19 13:57:00,18449.0,2026-03-19 13:58:00,18480.0,1,0.16803078757656242,True,-0.16803078757656242,False,1#中阴-0.14%;2#中阴-0.11%;3#大阴-0.33%,长上影阴
