combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
5,3,3,2026-03-19 10:54:00,19008.0,2026-03-19 10:55:00,19006.0,1,-0.01052188552188552,False,0.01052188552188552,True,1#长上影阴-0.06%;2#长下影阳+0.07%;3#大阳+0.08%,大阳
5,3,3,2026-03-19 10:55:00,19006.0,2026-03-19 10:56:00,19016.0,1,0.05261496369567505,True,-0.05261496369567505,False,1#长下影阳+0.07%;2#大阳+0.08%;3#大阳+0.15%,长下影阴
5,3,3,2026-03-19 11:02:00,19006.0,2026-03-19 11:03:00,18986.0,1,-0.1052299273913501,False,0.1052299273913501,True,1#中阴-0.04%;2#大阳+0.14%;3#长下影阳+0.02%,中阴
5,3,3,2026-03-19 11:11:00,18998.0,2026-03-19 11:12:00,19000.0,1,0.010527423939362039,True,-0.010527423939362039,False,1#长下影阳+0.01%;2#长上影阳+0.04%;3#大阳+0.15%,中阴
5,3,3,2026-03-19 11:14:00,19002.0,2026-03-19 11:15:00,19008.0,1,0.031575623618566466,True,-0.031575623618566466,False,1#中阴-0.04%;2#长下影阳+0.01%;3#长下影阳+0.02%,小阳
5,3,3,2026-03-19 11:21:00,18995.0,2026-03-19 11:22:00,18982.0,1,-0.06843906291129244,False,0.06843906291129244,True,1#长上影阴-0.03%;2#大阳+0.07%;3#长上影阳+0.04%,T字
5,3,3,2026-03-19 11:22:00,18982.0,2026-03-19 11:23:00,18968.0,1,-0.0737540828152987,False,0.0737540828152987,True,1#大阳+0.07%;2#长上影阳+0.04%;3#T字-0.01%,中阴
5,3,3,2026-03-19 11:29:00,18956.0,2026-03-19 11:30:00,18940.0,1,-0.0844059928254906,False,0.0844059928254906,True,1#大阴-0.13%;2#长上影阳+0.03%;3#大阳+0.11%,长下影阳
5,3,3,2026-03-19 11:30:00,18940.0,2026-03-19 13:31:00,18811.0,1,-0.6810982048574445,False,0.6810982048574445,True,1#长上影阳+0.03%;2#大阳+0.11%;3#长下影阳+0.03%,中阴
5,3,3,2026-03-19 13:42:00,18677.0,2026-03-19 13:43:00,18658.0,1,-0.10172939979654119,False,0.10172939979654119,True,1#大阴-0.33%;2#中阳+0.06%;3#大阳+0.21%,大阳
5,3,3,2026-03-19 13:43:00,18658.0,2026-03-19 13:44:00,18631.0,1,-0.14471004394897632,False,0.14471004394897632,True,1#中阳+0.06%;2#大阳+0.21%;3#大阳+0.11%,大阴
5,3,3,2026-03-19 13:49:00,18595.0,2026-03-19 13:50:00,18573.0,1,-0.11831137402527561,False,0.11831137402527561,True,1#大阴-0.37%;2#长上影阳+0.10%;3#长下影阳+0.12%,长上影阴
5,3,3,2026-03-19 13:53:00,18592.0,2026-03-19 13:54:00,18571.0,1,-0.11295180722891565,False,0.11295180722891565,True,1#中阴-0.13%;2#大阳+0.24%;3#长下影阳+0.07%,大阴
5,3,3,2026-03-19 14:03:00,18488.0,2026-03-19 14:04:00,18481.0,1,-0.037862397230636086,False,0.037862397230636086,True,1#大阴-0.33%;2#大阳+0.22%;3#中阳+0.19%,T字
5,3,3,2026-03-19 14:04:00,18481.0,2026-03-19 14:05:00,18520.0,1,0.21102754179968616,True,-0.21102754179968616,False,1#大阳+0.22%;2#中阳+0.19%;3#T字-0.01%,大阴
5,3,3,2026-03-19 14:07:00,18520.0,2026-03-19 14:08:00,18466.0,1,-0.2915766738660907,False,0.2915766738660907,True,1#大阴-0.14%;2#大阳+0.21%;3#大阳+0.15%,中阴
5,3,3,2026-03-19 14:29:00,18127.0,2026-03-19 14:30:00,18110.0,1,-0.09378275500634413,False,0.09378275500634413,True,1#长下影阴-0.23%;2#长下影阴-0.04%;3#大阳+0.09%,大阴
5,3,3,2026-03-19 14:41:00,17958.0,2026-03-19 14:42:00,17950.0,1,-0.04454839068938635,False,0.04454839068938635,True,1#大阴-0.69%;2#中阳+0.27%;3#长上影阳+0.05%,长下影阳
5,3,3,2026-03-19 14:42:00,17950.0,2026-03-19 14:43:00,17906.0,1,-0.24512534818941506,False,0.24512534818941506,True,1#中阳+0.27%;2#长上影阳+0.05%;3#长下影阳+0.18%,T字
5,3,3,2026-03-19 14:57:00,17891.0,2026-03-19 14:58:00,17975.0,1,0.469509809401375,True,-0.469509809401375,False,1#中阴-0.21%;2#大阳+0.21%;3#大阳+0.28%,大阳
5,3,3,2026-03-19 14:58:00,17975.0,2026-03-19 14:59:00,18003.0,1,0.15577190542420027,True,-0.15577190542420027,False,1#大阳+0.21%;2#大阳+0.28%;3#大阳+0.17%,大阳
5,3,3,2026-03-19 14:59:00,18003.0,2026-03-19 15:00:00,17984.0,1,-0.10553796589457312,False,0.10553796589457312,True,1#大阳+0.28%;2#大阳+0.17%;3#大阳+0.47%,中阳
5,3,3,2026-03-19 15:00:00,17984.0,2026-03-19 21:01:00,16500.0,1,-8.251779359430605,False,8.251779359430605,True,1#大阳+0.17%;2#大阳+0.47%;3#中阳+0.16%,一字板
5,3,3,2026-03-19 21:06:00,16488.0,2026-03-19 21:07:00,16444.0,1,-0.26686074721009223,False,0.26686074721009223,True,1#大阴-0.84%;2#大阳+1.13%;3#大阳+0.97%,长上影阳
5,3,3,2026-03-19 21:07:00,16444.0,2026-03-19 21:08:00,16580.0,1,0.8270493797129652,True,-0.8270493797129652,False,1#大阳+1.13%;2#大阳+0.97%;3#长上影阳+0.07%,中阴
5,3,3,2026-03-19 21:13:00,16481.0,2026-03-19 21:14:00,16521.0,1,0.2427037194345003,True,-0.2427037194345003,False,1#大阴-0.64%;2#倒T+0.02%;3#小阳+0.15%,长下影阳
5,3,3,2026-03-19 21:14:00,16521.0,2026-03-19 21:15:00,16566.0,1,0.27238060650081714,True,-0.27238060650081714,False,1#倒T+0.02%;2#小阳+0.15%;3#长下影阳+0.19%,中阳
5,3,3,2026-03-19 21:15:00,16566.0,2026-03-19 21:16:00,16564.0,1,-0.012072920439454304,False,0.012072920439454304,True,1#小阳+0.15%;2#长下影阳+0.19%;3#中阳+0.26%,大阳
5,3,3,2026-03-19 21:16:00,16564.0,2026-03-19 21:17:00,16650.0,1,0.5191982612895436,True,-0.5191982612895436,False,1#长下影阳+0.19%;2#中阳+0.26%;3#大阳+0.20%,长上影阳
5,3,3,2026-03-19 21:19:00,16842.0,2026-03-19 21:20:00,16822.0,1,-0.11875074219213869,False,0.11875074219213869,True,1#长上影阳+0.07%;2#T字+0.04%;3#大阳+0.68%,大阳
5,3,3,2026-03-19 21:20:00,16822.0,2026-03-19 21:21:00,16974.0,1,0.9035786470098681,True,-0.9035786470098681,False,1#T字+0.04%;2#大阳+0.68%;3#大阳+0.48%,长下影阴
5,3,3,2026-03-19 21:30:00,16863.0,2026-03-19 21:31:00,16840.0,1,-0.1363932870782186,False,0.1363932870782186,True,1#长上影阴-0.07%;2#T字-0.02%;3#小阳+0.08%,T字
5,3,3,2026-03-19 21:31:00,16840.0,2026-03-19 21:32:00,16919.0,1,0.4691211401425178,True,-0.4691211401425178,False,1#T字-0.02%;2#小阳+0.08%;3#T字-0.02%,中阳
5,3,3,2026-03-19 21:40:00,16770.0,2026-03-19 21:41:00,16756.0,1,-0.08348240906380441,False,0.08348240906380441,True,1#小阴-0.07%;2#长下影阴-0.05%;3#十字星+0.00%,大阴
5,3,3,2026-03-19 21:44:00,16809.0,2026-03-19 21:45:00,16787.0,1,-0.1308822654530311,False,0.1308822654530311,True,1#长下影阴-0.07%;2#长下影阳+0.05%;3#长下影阳+0.07%,T字
5,3,3,2026-03-19 21:52:00,16853.0,2026-03-19 21:53:00,16890.0,1,0.2195454815166439,True,-0.2195454815166439,False,1#长上影阴-0.07%;2#T字+0.06%;3#T字+0.00%,T字
5,3,3,2026-03-19 21:53:00,16890.0,2026-03-19 21:54:00,17006.0,1,0.6867969212551805,True,-0.6867969212551805,False,1#T字+0.06%;2#T字+0.00%;3#T字-0.02%,中阳
5,3,3,2026-03-19 21:54:00,17006.0,2026-03-19 21:55:00,17074.0,1,0.39985887333882153,True,-0.39985887333882153,False,1#T字+0.00%;2#T字-0.02%;3#中阳+0.19%,T字
5,3,3,2026-03-19 21:55:00,17074.0,2026-03-19 21:56:00,17106.0,1,0.187419468197259,True,-0.187419468197259,False,1#T字-0.02%;2#中阳+0.19%;3#T字+0.02%,小阳
5,3,3,2026-03-19 21:56:00,17106.0,2026-03-19 21:57:00,17195.0,1,0.5202852800187069,True,-0.5202852800187069,False,1#中阳+0.19%;2#T字+0.02%;3#小阳+0.12%,长上影阳
5,3,3,2026-03-19 21:57:00,17195.0,2026-03-19 21:58:00,17181.0,1,-0.08141901715615005,False,0.08141901715615005,True,1#T字+0.02%;2#小阳+0.12%;3#长上影阳+0.10%,长下影阳
5,3,3,2026-03-19 21:58:00,17181.0,2026-03-19 21:59:00,17141.0,1,-0.23281531924800652,False,0.23281531924800652,True,1#小阳+0.12%;2#长上影阳+0.10%;3#长下影阳+0.09%,T字
5,3,3,2026-03-19 22:02:00,17278.0,2026-03-19 22:03:00,17261.0,1,-0.09839101747887488,False,0.09839101747887488,True,1#十字星+0.01%;2#大阳+0.26%;3#十字星+0.05%,长下影阴
5,3,3,2026-03-19 22:03:00,17261.0,2026-03-19 22:04:00,17248.0,1,-0.0753142923353224,False,0.0753142923353224,True,1#大阳+0.26%;2#十字星+0.05%;3#长下影阴-0.08%,小阴
5,3,3,2026-03-19 22:12:00,17427.0,2026-03-19 22:13:00,17383.0,1,-0.2524817811442015,False,0.2524817811442015,True,1#长下影阴-0.04%;2#中阳+0.20%;3#长下影阳+0.09%,T字
5,3,3,2026-03-19 22:13:00,17383.0,2026-03-19 22:14:00,17347.0,1,-0.2070988897198412,False,0.2070988897198412,True,1#中阳+0.20%;2#长下影阳+0.09%;3#T字+0.04%,长上影阴
5,3,3,2026-03-19 22:25:00,17313.0,2026-03-19 22:26:00,17306.0,1,-0.040432045283890716,False,0.040432045283890716,True,1#大阴-0.21%;2#大阳+0.24%;3#T字+0.01%,大阳
