combo_len,buy_pos,signal_len,buy_time,buy_price,sell_time,sell_price,hold_len,long_pnl_pct,long_win,short_pnl_pct,short_win,signal_detail,buy_type
6,4,4,2026-03-19 10:56:00,1084.08,2026-03-19 10:57:00,1083.94,1,-0.012914176075554635,False,0.012914176075554635,True,1#大阴-0.03%;2#大阳+0.02%;3#大阳+0.05%;4#大阳+0.06%,长上影阳
6,4,4,2026-03-19 11:21:00,1084.6,2026-03-19 11:22:00,1084.48,1,-0.01106398672320587,False,0.01106398672320587,True,1#T字-0.00%;2#小阳+0.01%;3#倒T+0.00%;4#中阳+0.01%,大阴
6,4,4,2026-03-19 11:29:00,1084.0,2026-03-19 11:30:00,1084.3,1,0.02767527675276333,True,-0.02767527675276333,False,1#中阴-0.02%;2#T字+0.00%;3#大阳+0.03%;4#中阳+0.01%,中阴
6,4,4,2026-03-19 13:50:00,1079.36,2026-03-19 13:51:00,1079.7,1,0.031500148236005186,True,-0.031500148236005186,False,1#长下影阴-0.04%;2#长上影阴-0.01%;3#大阳+0.07%;4#大阳+0.05%,小阴
6,4,4,2026-03-19 14:28:00,1075.66,2026-03-19 14:29:00,1074.8,1,-0.07995091385755046,False,0.07995091385755046,True,1#大阴-0.12%;2#大阳+0.05%;3#T字-0.01%;4#大阳+0.04%,大阳
6,4,4,2026-03-19 14:29:00,1074.8,2026-03-19 14:30:00,1073.68,1,-0.10420543356902597,False,0.10420543356902597,True,1#大阳+0.05%;2#T字-0.01%;3#大阳+0.04%;4#大阳+0.05%,大阴
6,4,4,2026-03-19 14:59:00,1062.46,2026-03-19 15:00:00,1062.0,1,-0.04329574760461913,False,0.04329574760461913,True,1#中阴-0.07%;2#中阳+0.08%;3#大阳+0.07%;4#大阳+0.15%,大阳
6,4,4,2026-03-19 15:00:00,1062.0,2026-03-19 21:01:00,1012.9,1,-4.623352165725049,False,4.623352165725049,True,1#中阳+0.08%;2#大阳+0.07%;3#大阳+0.15%;4#大阳+0.08%,一字板
6,4,4,2026-03-19 21:07:00,1013.24,2026-03-19 21:08:00,1016.62,1,0.3335833563617697,True,-0.3335833563617697,False,1#大阴-0.38%;2#大阳+0.82%;3#中阳+0.20%;4#十字星+0.02%,中阴
6,4,4,2026-03-19 21:16:00,1010.16,2026-03-19 21:17:00,1013.46,1,0.32668092183417163,True,-0.32668092183417163,False,1#十字星+0.01%;2#长下影阳+0.08%;3#中阳+0.12%;4#长下影阴-0.04%,小阴
